o --> UPOS: INTJ, Lemma: o, XPOS: UH, Feats: None
that --> UPOS: SCONJ, Lemma: that, XPOS: IN, Feats: None
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Nom|Person=2|PronType=Prs
were --> UPOS: AUX, Lemma: be, XPOS: VBD, Feats: Mood=Ind|Number=Sing|Person=2|Tense=Past|VerbForm=Fin
your --> UPOS: PRON, Lemma: your, XPOS: PRP$, Feats: Case=Gen|Person=2|Poss=Yes|PronType=Prs
self --> UPOS: NOUN, Lemma: self, XPOS: NN, Feats: Number=Sing
but --> UPOS: CCONJ, Lemma: but, XPOS: CC, Feats: None
love --> UPOS: NOUN, Lemma: love, XPOS: NN, Feats: Number=Sing
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Nom|Person=2|PronType=Prs
are --> UPOS: AUX, Lemma: be, XPOS: VBP, Feats: Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin
no --> UPOS: ADV, Lemma: no, XPOS: RB, Feats: None
longer --> UPOS: ADV, Lemma: long, XPOS: RBR, Feats: Degree=Cmp
yours --> UPOS: PRON, Lemma: yours, XPOS: PRP, Feats: Gender=Neut|Number=Sing|Person=2|Poss=Yes|PronType=Prs
than --> UPOS: ADP, Lemma: than, XPOS: IN, Feats: None
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Acc|Person=2|PronType=Prs
yourself --> UPOS: PRON, Lemma: yourself, XPOS: PRP, Feats: Case=Acc|Number=Sing|Person=2|PronType=Prs|Reflex=Yes
here --> UPOS: ADV, Lemma: here, XPOS: RB, Feats: PronType=Dem
live --> UPOS: VERB, Lemma: live, XPOS: VBP, Feats: Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin
against --> UPOS: ADP, Lemma: against, XPOS: IN, Feats: None
this --> UPOS: DET, Lemma: this, XPOS: DT, Feats: Number=Sing|PronType=Dem
coming --> UPOS: VERB, Lemma: come, XPOS: VBG, Feats: VerbForm=Ger
end --> UPOS: NOUN, Lemma: end, XPOS: NN, Feats: Number=Sing
you --> UPOS: PRON, Lemma: you, XPOS: PRP, Feats: Case=Nom|Person=2|PronType=Prs
should --> UPOS: AUX, Lemma: should, XPOS: MD, Feats: VerbForm=Fin
prepare --> UPOS: VERB, Lemma: prepare, XPOS: VB, Feats: VerbForm=Inf
and --> UPOS: CCONJ, Lemma: and, XPOS: CC, Feats: None
your --> UPOS: PRON, Lemma: your, XPOS: PRP$, Feats: Case=Gen|Person=2|Poss=Yes|PronType=Prs
sweet --> UPOS: ADJ, Lemma: sweet, XPOS: JJ, Feats: Degree=Pos
semblance --> UPOS: NOUN, Lemma: semblance, XPOS: NN, Feats: Number=Sing
to --> UPOS: ADP, Lemma: to, XPOS: IN, Feats: None
some --> UPOS: DET, Lemma: some, XPOS: DT, Feats: None
other --> UPOS: ADJ, Lemma: other, XPOS: JJ, Feats: Degree=Pos
give --> UPOS: VERB, Lemma: give, XPOS: VB, Feats: VerbForm=Inf
so --> UPOS: ADV, Lemma: so, XPOS: RB, Feats: None
should --> UPOS: AUX, Lemma: should, XPOS: MD, Feats: VerbForm=Fin
that --> UPOS: DET, Lemma: that, XPOS: DT, Feats: Number=Sing|PronType=Dem
beauty --> UPOS: NOUN, Lemma: beauty, XPOS: NN, Feats: Number=Sing
which --> UPOS: PRON, Lemma: which, XPOS: WDT, Feats: PronType=Rel
