Word	Lemma	POS	Gram
ультраженственной	ультраженственный	A	f,gen,sg
миллионометра	миллионометр	S	m,sg,gen
гильоше	гильоше	A	sg,m,nom
полуколебаний	полуколебание	S	n,pl,gen
баухаус	Баухаус	A	sg,m,ins
скелетонных	скелетонный	A	pl,gen
турбийона	турбийон	S	m,sg,gen
напылены	напылить	V	partcp,pass,past,pl,nom,brev
ультралегким	ультралегкий	A	sg,m,ins
алмазоподобный	алмазоподобный	A	sg,m,nom
шелкографией	шелкография	S	f,sg,ins
контрэтикетке	контрэтикетка	S	f,sg,loc
пино-де-шарант	пино-де-шарант	S	n,sg,nom
запечатлится	запечатлеться	V	pres,3p,sg
фруктовостью	фруктовость	S	f,sg,ins
мелузины	Мелузина	S	f,sg,gen
водорастворимый	водорастворимый	A	m,sg,nom
цианакрилатных	цианакрилатный	A	pl,gen
вентиляторных	вентиляторный	A	pl,gen
кольчище	кольчище	S	n,sg,acc
жарина	жарина	S	f,sg,nom
опупеть	опупеть	V	inf
кулакасто-добрясто-шкафастое	кулакасто-добрясто-шкафастое	A	acc,n,sg
обосененную	обосенить	V	partcp,pass,past,sg,f,acc
кружали	кружаль	S	gen,f,sg
возрадывайтесь	возрадываться	V	2p,imper,pl
френдята	френдёнок	S	m,pl,nom
пья	пить	V	ger,pres
стригя	стричь	V	ger,pres
пекя	печь	V	ger,pres
деревяннее	деревяннее	A	comp
невянуще	невянуще	ADV	
газпром	Газпром	S	nom,m,sg
веселием	веселие	S	n,sg,ins
напояет	напоять	V	3p,pres,sg
висю	висеть	V	1p,pres,sg
набудусь	набыться	V	1p,pres,sg
побежу	победить	V	1p,pres,sg
победю	победить	V	1p,pres,sg
покрасивь	покрасивить	V	2p,sg,imper
приудобился	приудобиться	V	m,past,sg
расгащивается	расгащиваться	V	3p,pres,sg
нельзей	нельзей	ADV	comp
френдя	френдить	V	ger,pres
лукает	лукать	V	3p,pres,sg
крылышкуя	крылышковать	V	ger,pres
золотописьмом	золотописьмо	S	n,sg,ins
вздребезнулась	вздребезнуться	V	f,past,sg
вазит	вазить	V	3p,sg,pres
калушу	Калуша	S	f,sg,acc
шмерендит	шмерендить	V	3p,sg,pres
увазила	увазить	V	f,sg,past
кругтелся	кругтеться	V	m,sg,past
склипких	склипкий	A	pl,gen
мисиков	мисик	S	m,pl,gen
грустела	грустеть	V	f,sg,past
хрющали	хрющать	V	past,pl
грезитвой	грезитва	S	f,sg,ins
росторгмонтаж	Росторгмонтаж	S	m,sg,nom
вчк	ВЧК	S	f,sg,nom
огпу	ОГПУ	S	n,sg,nom
БФГ	БФГ	S	f,sg,acc
факи	ФАКИ	S	m,sg,nom
мфти	МФТИ	S	m,sg,nom
МФЭИ	МФЭИ	S	m,sg,nom
МГТУ	МГТУ	S	m,sg,gen
посмертья	посмертье	S	n,sg,gen
смертствует	смертствовать	V	3p,sg,pres
грызомый	грызть	V	partcp,pres,pass,m,sg,acc
Б-быстро	б-быстро	ADV	
дооолго	дооолго	ADV	
заздря	заздря	ADV	
западло	западло	ADV	
захлебно	захлебно	ADV	
джоулево	джоулев	A	n,sg,nom
