Index,Year,Name,KW
1,2013,Adrova,"хеширования, алгоритмов хеширования, SCRYPT, паролей, раундов, алгоритмов, BCRYPT, Полежаев Оренбургский, GOST, Алгоритм"
2,2013,Aksarin,"Новой сцены, сцены Александринского, Александринского театра, Новой, интернет, сцены, открытии Новой, театра, сети интернет, Александринского"
3,2013,Arzumanyan,"информации, Онтологии, концептуальных карт, концептуальных, области, предметной области, восприятие информации, представления, поиска, структуризации информации"
4,2013,Bershadskaya,"электронного правительства, электронного, правительства, социальных медиа, услуг электронного, социальных, услуг, социальных сетей, государственных услуг, РОИ"
5,2013,Bikkulov,"подростковых самоубийств, самоубийств, социальных медиа, социальных, подростковых, социальных сетях, сообщений, СМИ, самоубийств среди, медиа"
6,2013,Bogomolova,"предметной области, государственного управления, онтологии, государственное управление, управления, статистического наблюдения, УИС РОССИЯ, области, онтологии предметной, показателей"
7,2013,Bogoraz,"проникновение, тестов, безопасности, тестирования, уязвимостей, проведения тестов, Security Testing, Digital Security, Security, оценки"
8,2013,Bolgov,"электронной демократии, электронного участия, демократии, электронной, электронного, участия, механизмов электронной, России, разных странах, электронного правительства"
9,2013,Boyarsky,"слова, омонимии, слов, слово, анализа, предложения, словосочетание, существительное, является, SemSin"
10,2013,Boykov,"Тезауруса, термина, Стих, поэтологии, III, Примеры, ТСТ, стопный стих, равносложный стих, Поля ТСТ"
11,2013,Brodovskaya,"World Internet, The, Internet, Internet Project, World, the within, within the, the framework, the Internet, the perception"
12,2013,Brodovskaya,"World Internet, Internet Project, реализованного Московским, Московским государственным, результаты исследования, отражены некоторые, некоторые результаты, государственным гуманитарным, гуманитарным университетом, университетом имени"
13,2013,Brodovskaya,"глобальной сети, политической субъектности, Интернет, Интернете, Интернета, россиян, пространстве Интернет, глобальной, политической, действия властей"
14,2013,Chirkin,"данных, например, извлечения данных, страницы, извлечения, извлечение, сайта, data, страниц, следует"
15,2013,Chizhik,"сети Интернет, сети, Интернет, продукта, информации, является, мультимедийного продукта, Необходимо отметить, рекламной акции, случае"
16,2013,Dyakova,"электронного правительства, Китае, развития электронных, развития, правительства, электронного, электронных услуг, развития человеческого, индексу развития, власти"
17,2013,Evtushenko,"управления, системы управления, системы, числе, процессов, система, процессно-проектного управления, управления изменениями, систем, дальнейшем"
18,2013,Gorelik,"регистрации, регистрации паспорта, паспорта, электронной регистрации, пользователя, электронной, Процедура регистрации, процессе регистрации, Процедура, Введение Стремление"
19,2013,Grigorieva,"пожилых, пожилых людей, ИКТ, обучение пожилых, пожилых ИКТ, социальных, социального исключения, обучение, России, людей"
20,2013,Grigoryuk,"данных, базе данных, данными, Модель данных, Брагинская Институт, Google Maps, Модель, анализа, данные, экспериментов"
21,2013,Ivanchenko,"мобильных устройств, мобильных технологий, мобильных, студентов, преподавателей, устройств, среди преподавателей, технологий, среди студентов, применения мобильных"
22,2013,Ivanko,"Shifted Delta, Delta Cepstra, SDC, признаков SDC, идентификации языка, признаков, VAD, MFCCs, языка, СИЯ"
