Article ID,Generated keywords,Reference keywords,Matches,Match %
Leontyeva_IMS_2015,"точка зрения,текстовые концепты/понятие,текстовые единица,логические операция,лингвистические модели,лингвистическая онтологии,индивидуальные знания,граф текста,взаимные обмены,цель","онтология,информационная и лингвистическая
модели,область семантики,текстовые концепты,индивидуальные
знания.",,0.0
Maksimov_IMS_2021,"функциональные отношения,граф онтологии,три систем,технология представления,теоретико-множественный модели,такой образ,совместное применение,семантический поиск,релевантные документы,результаты поиска","семантический поиск,обработка текста,графовые представления
онтологий,механизм поиска,аспектная проекция",семантический поиск,20.0
Ogay_IMS_2017,"частотные словари,научные работы,трёхмерная визуализация,такая визуализация,различные цели,различные варианты,посвящённые биология,наглядная информация,иная специальность,данный доклад","лексикография,визуализация,моделирование,трехмерный,биология,частотный словарь,диаграмма",,0.0
Bakhvalov_IMS_2020,"подход,существующая система,причина ошибки,привлечение лингвистов,полученные правила,новые языки,настоящая работа,написанное текст,машинное обучение,количество людей","проверка правописания,автоматическое исправление ошибок,генерация правил,детектирование ошибок",,0.0
Bogomolova_IMS_2013,"государственное управление,предметная область,россия,коллекции,формирование онтологии,тематические публикации,статистические данные,сквозной поиск,разработка онтологии,помощь онтологии",,,0.0
Raikov_IMS_2018,"когнитивные модели,когнитивная модель,глубокое обучение,ускорение моделирования,уникальный образ,теория категорий,такое моделирование,предлагаемые решения,правильное решение,поддержка решений","большие данные,глубокое обучение,квантовая семантика,когнитивное моделирование,конвергентный подход",глубокое обучение,20.0
ChizhikMelnikovaZakharov_IMS_2022,"цель выделения,тематические паблики,социальная сеть,случайный лес,отражающая индекс,опорные векторы,описание эксперимента,несколько алгоритмов,машинное обучение,логистическая регрессия","эмоциональное картирование,тематическое моделирование,оценка тональности,векторизация текста",,0.0
Goryunova_IMS_2017,"предметная область,формальные экземпляры,формальные таксономия,онтологическая модель,экземпляры,функции,тезаурус,статья,свойства,представление","онтологии,предметные области,моделирование,классы,атрибуты,запросы,словари",,0.0
Balakshina_IMS_2014,"электронные документы,кредитные организации,эксплуатационная модель,часть обмена,финансовые документы,федеральное казначейство,схема осуществления,система обмена,российская федерация,процесс приемапередачи",,,0.0
Mbogo_IMS_2013,"цель выбора,такое явление,результаты исследования,различные аспекты,обзорная статья,информационное общество,базовые компоненты,создание,обслуживание,изучение",,,0.0
Masevich_IMS_2017,"частотное поведение,три примера,такие изменения,результаты исследования,построенные графики,политическая лексика,лексические единицы,исторический процесс,графические модель,слова","корпусы текстов,диахронические исследования,частотность
лексических единиц,модели частотного поведения,семантическое поле.",,0.0
Solovjova_IMS_2013,"эффективность обучения,современный преподаватель,ряд особенностей,разнообразные знания,дистанционное обучение,весь арсенал,учёт,навыки,медиадтидактика",,,0.0
Zakharkina_IMS_2013,"фольклористические экспедиции,участие автора,современная культура,различные форматы,программно-технологическая реализация,область искусств,гуманитарные науки,выдающиеся представители,видеозаписи встреч,этап",,,0.0
Brodovskaya_Siniakov_IMS,"ценностный выбор,ценностные стереотипы,ценностные предпочтения,ценностные ориентации,ценностная структура,ценностная иерархия,тип интернет-культуры,результат исследования,одна сторона,инструментарий исследования",,,0.0
Masevich_IMS_2016,"культурометрия,частота употребления,термин culturomics,словарь dictionary.com,российская история,рамки культурологии,промежуток времени,представляемая работа,последние годы,оцифрованные тексты","google books ngram viewer,диахронические
исследования,частотные характеристики,культурометрия.",,0.0
Sokolova_IMS_2020,"статья,проблемы,устойчивость разметки,состав отношений,создание стандартов,ряд решений,риторические структуры,рамки теории,разметка корпуса,одна сторона","корпус с дискурсивной разметкой,теория риторических структур,риторические отношения",,0.0
Sidorova_IMS_2013,"теоретические подходы,результаты исследования,муниципальное управление,информационная открытость,алтайский край,статья,анализ",,,0.0
Zakharov_IMS_2014,"терминологические словосочетания,результаты экспериментов,результаты исследования,статья,основа,выделение,t-score,sensitivity,min,mi3","выделение терминологии,корпусы текстов,терминологические словосочетания,коллокации,коллокаты,специальные тексты,меры ассоциации,синтагматическая связь,сочетаемость,система sketch engine,биграммы,структурные схемы номинативных конструкций",терминологические словосочетания,8.33
Grigorieva_IMS_2013,"социальное исключение,современное общество,пожилые работа,пожилые люди,настоящая статья,крайняя мера,актуальное вопрос,тема,старение,рассмотрение",,,0.0
Khokhlova_IMS_2018,"существующие системы,русский язык,реализация проекта,разнообразные словари,разнообразные задачи,прикладная лингвистика,представляющие информация,основа корпусов,материал словарей,извлечённые коллокация","сочетаемость,коллокации,словари,база данных,корпусы
текстов,статистика",,0.0
Boyarsky_IMS_2015,"эквивалентные слово,точность порядка,такие словосочетания,семантические значения,свободные словосочетания,русский язык,проведённая оценка,правое контекст,подобные словосочетания,некоторые случаи","анализ предложения,обороты,словосочетания,части речи",,0.0
Kapterev_IMS_2014,"старшие школьники,результат анализа,профориентационные решения,продукционные алгоритмы,проблемная ситуация,отечественный управление,основа модели,частность,спппр,профориентация",,,0.0
Maksimov_IMS_2023,"целевое объект,рассматриваемые свойства,понимание информации,оценка информации,мыслительные процессы,материальное мир,законы природы,зависимости объектов,всеобщее свойство,атрибутивные свойства","фундаментальные свойства информации,атрибутивные свойства информации,прагматические свойства информации,свободная информация,связанная информация,информационные взаимодействия",,0.0
Dubovik_IMS_2017,"статистические параметры,принадлежность текста,основание методов,определение стилей,используемые параметры,эксперименты,предположение,материал,корпусы,исследование","стиль,классификация,корпусная лингвистика,стилеметрия,типология.",,0.0
Kurochkina_IMS_2017,"выявление коллокаций,цель работы,устойчивые словосочетания,система nosketchengine,популярные меры,меры ассоциации,данная работа,эксперимент,работа,пример","корпуса,извлечение коллокаций,меры ассоциации",меры ассоциации,33.33
Pimenov_IMS_2014,"составление рубрик,сетевая информация,потенциальные пользователи,обработка запросов,назначение путеводителя,комплектование путеводителя,работа","создание,интернет-ресурс,веблиография,путеводитель,предметный путеводитель,консервация документов,сохранность документов,бан,библиотека академии наук,комплектование,запросы,подготовка запросов,программное обеспечение,plone",,0.0
Kogan_IMS_2022,"ия,изучение,широкое использование,ценный ресурс,учебные цели,трудоёмкая задача,развитие интернета,педагогическая общественность,открытое образование,научные статьи","оор,онлайн корпуса,корпусная лингводидактика,дидактические материалы,повышение квалификации",,0.0
Zhang_IMS_2019,"семантические поля,статья,помощь,интеллект-карта,государство,власть,формирование интеллект-карт,три концептов,способы представления,современное общество","языковая картина мира,концепт,визуализация знаний,интеллекткарта",,0.0
Mengliev_IMS_2021,"узбекский язык,морфологический анализатор,число,статья,языковые корпусы,электронные переводчики,состав морфоанализатора,орфографические корректоры,лингвистическое обеспечение,лингвистические анализаторы","морфологический анализатор,узбекский язык,граммема,дериватема,квазиграммема","узбекский язык,морфологический анализатор",40.0
Zakharov_IMS_2017,"русский язык,синтаксический словарь,предложные конструкции,полученные данные,первообразные предлоги,онтология предлогов,научная значимость,методика построения,лексикосемантические характеристики,контекстная грамматика","предлоги,русский язык,семантика,синтаксические
отношения,контекст,лексикосемантические маркеры.",русский язык,16.67
Kislov_IMS_2017,"развитие,языковой система,языковой игра,языковая игра,усиливающееся влияние,существующие иероглифы,современный этап,серьёзный реформирование,принципы онлайн-коммуникации,основа омонимии","китайский язык,интернет-язык,языковая
игра,новые иероглифы.",,0.0
Voroshilov_IMS_2013,"фактографическая информация,информационная система,систематизация,использование,выполнение,технология освоения,такой образ,студенты вузов,специальные компетенции,современные вузы",,,0.0
Belova_IMS_2014,"нижегородская область,электронный гражданин,формирование кампании,социальные проекты,реализуемые правительство,пример проекта,популяризация проекта,использование интернета,использование интернет-инструментов,информационное общество",,,0.0
Sampetova_IMS_2018,"предположение,стандартная клавиатура,русскоязычные тексты,русский язык,расстояние левенштейна,проведённая работа,некорректный ввод,n-граммной модели,целое,расстояние","автоматическое исправление опечаток,расстояние левенштейна,n-граммная модель",расстояние левенштейна,33.33
Artemova_IMS_2015,"отдельные термины,электронное обучение,частота встречаемости,толкование терминов,текстовые источники,смысл онтологии,семантический классификатор,семантические классификатор,разработка онтологий,пример материалов","онтологии,парсинг,семантический классификатор",семантический классификатор,33.33
Popova_IMS_2019,"социальная роль,социолингвистические данные,социальные роли,разный род,перцептивная база,определённые маркеры,нужная единицы,некоторая зависимость,малоизученные параметры,корпус орд","устная речь,корпус,дискурс,прагматическое аннотирование,прагматические маркеры,метакоммуникация,метакоммуникативы,социальная роль,лингвистические корреляты",социальная роль,11.11
Grigoryeva_IMS_2014,"социологические конструкты,рынок труда,пожилые икт,пилотный исследование,данная статья,фокус,старение,рамки,обучение,изменение",,,0.0
Chekmeneva_IMS_2019,"автор,различные теория,процесс исследования,описывающие метафора,музыковедческий дискурс,музыковедческая тематика,корпус текстов,концептуальная метафоры,исследование феномена,данная работа","корпусная лингвистика,корпус текстов,метафора,концептуальная метафора,музыковедческий дискурс","музыковедческий дискурс,корпус текстов",40.0
Sedova_IMS_2017,"ухудшение точности,усовершенствование методов,тематические модель,текстовые коллекции,специальные тексты,содержательная интерпретация,скрытые взаимосвязи,работа алгоритма,новый алгоритм,некоторые случаи","тематическое моделирование,lda,биграммы",,0.0
Danilina_IMS_2014,"учебные цели,вопросы,учебная литература,применение сети,правовое функционирование,оцифрованные учебники,особое внимание,авторское право,авторские тексты,интернет","авторское право,учебник,книга для чтения",авторское право,33.33
Melnichuk_IMS_2023,"русский язык,научные стати,задача суммаризации,эффективная модель,суммаризация текста,статистические метрики,русский текст,практическая ценность,поставленная задача,полученные результаты","nlp,суммаризация,mbart,t5,gpt-3",,0.0
Dyakova_IMS_2014,"коррупция,электронное правительство,информационные технологии,статья,борьба,условия существования,усиление контроля,социальное знание,совместный проекты,рамки программы",,,0.0
Kovalevsky_IMS_2013,"активная сейсмология,электронная библиотека,экспериментальная геофизики,социальная сеть,смежные дисциплины,режим on-line,последние десятилетие,пополняемые пользователи,научные работы,научные исследования",,,0.0
Komarova_IMS_2019,"корпус,речевой общение,практика,пособие,изучение,фразеологические единицы,фразеологические единица,учебные пособия,учебное процесс,список фразеологизмов","корпусная лингвистика,английская фразеология,корпус соса,поисковый запрос,верификация фразеологизмов,частотность,нормативный вид,типичные трансформации,дидактические материалы",,0.0
Kulik_IMS_2014,"становление сети,социокультурная трансформация,предполагающая вовлечение,постиндустриальное общество,интерактивный потенциал,гражданское общество,авторский взгляд,сотрудичество,развитие,работа",,,0.0
Prokudin_IMS_2014,"научные исследования,научно-исследовательская деятельность,научная деятельность,учёт структуры,существующие решения,различные виды,раздроблённые группа,программное обеспечение,полная мера,научное сообщество","информатизация научной деятельности,информационная система,проектирование,информационно-коммуникационные технологии в научных исследованиях",,0.0
Moskvina_IMS_2019,"употребление предлогов,статистическая информация,содержащая информация,семантическая обработка,русский язык,расширенный контекст,рамки проекта,разные жанры,процесс получения,примеры запросов","русские предлоги,предложные конструкции,значения предлогов,корпусная лингвистика,база данных",,0.0
Aksarin_IMS_2013,"поведение,существенное влияние,стиль поведения,современные театры,пример проектов,привлечение зрителей,новое явление,новая сцена,настоящая статья,молодое поколение",,,0.0
Karbovskii_IMS_2013,"экстремальные ситуации,социальные процессы,персональные решения,интеллектуальная поддержка,аспекты разработки,основа,моделирование",,,0.0
