Имя файла,Ключевые слова (рус),Ключевые слова (англ),ключевые слова (Ruterm)
Chizhik_IMS_2014_Abstract_eng.txt,,"Modern Russia, Media Formats, Media, Russia, Modern, Formats, showing, features, article, analyzes",
Leontyeva_IMS_2015_Abstract_rus.txt,"Проводится сравнение, сравнение информационных, точки зрения, средств представления, лингвистических моделей, представления знаний, понимающих, тексты, Общей Онтологии, лингвистической Онтологий",,"точка зрения, текстовые концепты/понятие, текстовые единица, логические операция, лингвистические модели, лингвистическая онтологии, индивидуальные знания, граф текста, взаимные обмены, цель"
Maksimov_IMS_2021_Abstract_rus.txt,"трех систем, статье рассматривается, рассматривается технология, технология представления, представления полного, системой трех, полного текста, графом онтологии, функциональной, поиска",,"функциональные отношения, граф онтологии, три систем, технология представления, теоретико-множественный модели, такой образ, совместное применение, семантический поиск, релевантные документы, результаты поиска"
Karbovskii_IMS_2013_Abstract_eng.txt,,"artificial society, society simulation, MMS, cloud, Mobile, support, cloud technologies, decision support, mobile services, second-generation cloud",
Ogay_IMS_2017_Abstract_rus.txt,"наглядной информации, данном докладе, частотные словари, докембрийским акритархам, возможности использования, использования трехмерной, посвященных докембрийским, рассмотрены частотные, трехмерной визуализации, словари научных",,"частотные словари, научные работы, трёхмерная визуализация, такая визуализация, различные цели, различные варианты, посвящённые биология, наглядная информация, иная специальность, данный доклад"
Lyapin_IMS_2014_Abstract_eng.txt,,"Humanities Research, Full-text Search, Research, Humanitariana, University ITMO, Humanities, Full-text, Search, Distributed, Environment",
Platonov_IMS_2013_Abstract_eng.txt,,"Science Websites, Internet Recourses, Websites Structure, FEB RAS, FEB, Websites, Science, RAS, Recourses, Analysis",
Bakhvalov_IMS_2020_Abstract_rus.txt,"количество людей, Количество написанного, является актуальной, каждым годом, начинающих изучать, новые языки, свойственно делать, написанного текста, текста увеличивается, изучать новые",,"подход, существующая система, причина ошибки, привлечение лингвистов, полученные правила, новые языки, настоящая работа, написанное текст, машинное обучение, количество людей"
Bogomolova_IMS_2013_Abstract_rus.txt,"Повышение качества, актуальная проблема, государственное управление, государственного управления, качества государственного, предметной области, управления, государственное, управление, онтологии",,"государственное управление, предметная область, россия, коллекции, формирование онтологии, тематические публикации, статистические данные, сквозной поиск, разработка онтологии, помощь онтологии"
Borisov_IMS_2014_Abstract_eng.txt,,"Modern Theater, Multimedia Technologies, Theater, Modern, Multimedia, Technologies, Internet, ITMO University, Aleksandrinsky Theatre, State University",
Raikov_IMS_2018_Abstract_rus.txt,"одновременно денотативные, учитывать одновременно, моделирование позволяет, Когнитивное моделирование, позволяет учитывать, Больших Данных, формализованные, вещные, когнитивные, мыслительные",,"когнитивные модели, когнитивная модель, глубокое обучение, ускорение моделирования, уникальный образ, теория категорий, такое моделирование, предлагаемые решения, правильное решение, поддержка решений"
ChizhikMelnikovaZakharov_IMS_2022_Abstract_rus.txt,"публичных групп, Данная статья, города Санкт-Петербурга, статья посвящена, посвящена описанию, описанию эксперимента, оценке тональности, тональности комментариев, постам районных, исследовано",,"цель выделения, тематические паблики, социальная сеть, случайный лес, отражающая индекс, опорные векторы, описание эксперимента, несколько алгоритмов, машинное обучение, логистическая регрессия"
Goryunova_IMS_2017_Abstract_rus.txt,"Делается заключение, классификации онтологий, области являются, статье исследуются, исследуются основные, основные принципы, принципы классификации, основными компонентами, компонентами онтологии, классы",,"предметная область, формальные экземпляры, формальные таксономия, онтологическая модель, экземпляры, функции, тезаурус, статья, свойства, представление"
Balakshina_IMS_2014_Abstract_rus.txt,"Российской Федерации, актов Российской, Изучение современных, электронными документами, современных особенностей, особенностей взаимодействия, взаимодействия кредитных, кредитных организаций, государственными учетными, учетными финансовыми",,"электронные документы, кредитные организации, эксплуатационная модель, часть обмена, финансовые документы, федеральное казначейство, схема осуществления, система обмена, российская федерация, процесс приемапередачи"
Mbogo_IMS_2013_Abstract_rus.txt,"Информационное общество, Обзорная статья, результаты исследования, научного направления, статья представляет, представляет результаты, целью выбора, выбора базовых, базовых компонентов, создания комплексной",,"цель выбора, такое явление, результаты исследования, различные аспекты, обзорная статья, информационное общество, базовые компоненты, создание, обслуживание, изучение"
Ruzanova_IMS_2013_Abstract_eng.txt,,"Republic, Karelia, e-Government development, development, E-Government, services, Dmitry Burakov, state, Elena Kholodkova, government",
Masevich_IMS_2017_Abstract_rus.txt,"Представлены результаты, результаты исследования, которое проводилось, русского корпуса, Google Books, N-gram Viewer, базе русского, Books N-gram, Books, Представлены",,"частотное поведение, три примера, такие изменения, результаты исследования, построенные графики, политическая лексика, лексические единицы, исторический процесс, графические модель, слова"
Solovjova_IMS_2013_Abstract_rus.txt,"Современный преподаватель, преподаватель должен, должен обладать, обладать разнообразными, разнообразными знаниями, создавать качественный, качественный мультимедийный, мультимедийный учебный, учебный материал, дистанционного обучения",,"эффективность обучения, современный преподаватель, ряд особенностей, разнообразные знания, дистанционное обучение, весь арсенал, учёт, навыки, медиадтидактика"
Zakharkina_IMS_2013_Abstract_rus.txt,"Применение современных, подготовки контента, развития ресурса, современных информационных, информационных технологий, области искусств, гуманитарных наук, наук имеет, уровне подготовки, этапе программно-технологической",,"фольклористические экспедиции, участие автора, современная культура, различные форматы, программно-технологическая реализация, область искусств, гуманитарные науки, выдающиеся представители, видеозаписи встреч, этап"
Dmitrieva_IMS_2014_Abstract_eng.txt,,"Transparency Assessment, Executive Power, Transparency, Power Authorities, Openness, Assessment, Authorities, Executive, Power, Styrin",
