Index,Year,Name,KW
1,2022,Kogan,"корпусная лингвистика, ия, обучение, корпус, учебные материалы, корпусы, использование, задание, открытые образовательные ресурсы, открытый доступ"
2,2022,Maksimov,"смысл, рис, вершина, понятие, объект, информация, e, граф, взаимодействие, объекты"
3,2022,ChizhikMelnikova,"датасет, информация, машинное обучение, модель, классы, библиотека, такой образ, социальные сети, естественный язык, тема"
4,2022,ChizhikEgorov,"рис, пациенты, пациент, задача, бот, люди, информация, врач, вопросы, точность модели"
5,2022,Solovyev,"русский язык, словарь, оба видов, английский язык, абстрактные слова, словари, доля, сложность текстов, рейтинги конкретности/абстрактности, подробное описание"
6,2022,Vissio,"рис, якутский язык, русские заимствования, фильтр, заимствование, классификатор, выборка, уникальные словоформы, якутские тексты, русский язык"
7,2022,ChizhikMelnikovaZakharov,"рис, социальное настроение, логистическая регрессия, комментарии, алгоритм, социальные сети, машинное обучение, цель, модель, spacy"
8,2014,Kuzmina,"учебный процесс, применение, икт, дистанционное обучение, студенты, сеть, возможность, образовательная деятельность, система, информационные технологии"
9,2014,Bogoraz,"социальные сети, социальная сеть, пользователь, социальные сеть, информация, пользователи, сервер, политика конфиденциальности, сеть, доступ"
10,2014,Grigoryeva,"пожилые люди, работа, обучение, люди, старение, икт, пожилые икт, назначение пенсии, пенсия, возможность"
11,2014,Dyakova,"коррупция, борьба, электронное правительство, информационные технологии, кпк, китай, использование, власть, государственное управление, учёт"
12,2014,Lizunova,"медиапространство, c, медиа, социальное пространство, пространство, информационное пространство, информационное общество, п, идеи, массовая информация"
13,2014,Adaskina,"слово, результаты, алгоритм, семантические классы, релевантные слова, объём, метод, корпус, опорные векторы, каждая итерация"
14,2014,Grokhovskiy,"тип, строка, юникод, таблица, длина, санскр, корпус, уникальный идентификатор, лексическая база, интерфейс"
15,2014,Zalesskaya,"текст, коллокат, ключевое слово n, n, f(n,c, корпус, сочетание, программа, f(n, f(c"
16,2014,Kalinichenko,"прогнозирование, число, спб, государственная власть санкт-петербурга, прогноз, оценка эффективности деятельности органов, социально-экономическое развитие региона, санктпетербург, социально-экономическое развитие санктпетербурга, социологические опросы"
17,2014,Brodovskaya_Siniakov,"интернет, жизнь, ценностные стереотипы, ценностные ориентации, семья, респонденты, качество, брак, ценностные ориентация, материальное благополучие"
