Index,Year,Name,KW
1,2022,Kogan,"корпусная лингвистика, обучение, корпус, учебные материалы, корпусы, использование, задание, открытые образовательные ресурсы, открытый доступ, основа"
2,2022,Maksimov,"смысл, вершина, понятие, объект, информация, граф, взаимодействие, объекты, контекст, значение"
3,2022,ChizhikMelnikova,"датасет, информация, машинное обучение, модель, классы, библиотека, такой образ, социальные сети, естественный язык, тема"
4,2022,ChizhikEgorov,"пациенты, пациент, задача, люди, информация, врач, вопросы, точность модели, чат-боты, чат-бот"
5,2022,Solovyev,"русский язык, словарь, английский язык, абстрактные слова, словари, доля, сложность текстов, подробное описание, коэффициент корреляции, спирмена"
6,2022,Vissio,"якутский язык, русские заимствования, фильтр, заимствование, классификатор, выборка, уникальные словоформы, якутские тексты, русский язык, таблы"
7,2022,ChizhikMelnikovaZakharov,"социальное настроение, логистическая регрессия, комментарии, алгоритм, социальные сети, машинное обучение, цель, модель, социальная группа, индивидуальное настроение"
8,2014,Kuzmina,"учебный процесс, применение, дистанционное обучение, студенты, сеть, возможность, образовательная деятельность, система, информационные технологии, число"
9,2014,Bogoraz,"социальные сети, социальная сеть, пользователь, социальные сеть, информация, пользователи, сервер, политика конфиденциальности, сеть, доступ"
10,2014,Grigoryeva,"пожилые люди, работа, обучение, люди, старение, назначение пенсии, пенсия, возможность, старшее возраст, среднее"
11,2014,Dyakova,"коррупция, борьба, электронное правительство, информационные технологии, китай, использование, власть, государственное управление, учёт, необходимость"
12,2014,Lizunova,"медиапространство, медиа, социальное пространство, пространство, информационное пространство, информационное общество, идеи, массовая информация, понятие, информация"
13,2014,Adaskina,"слово, результаты, алгоритм, семантические классы, релевантные слова, объём, метод, корпус, опорные векторы, каждая итерация"
14,2014,Grokhovskiy,"строка, юникод, таблица, длина, санскр, корпус, уникальный идентификатор, лексическая база, интерфейс, тибетская грамматическая традиция"
15,2014,Zalesskaya,"текст, коллокат, корпус, сочетание, программа, ключевое слово, частота, наша программа, частота встречаемости, пара"
16,2014,Kalinichenko,"прогнозирование, число, государственная власть санкт-петербурга, прогноз, оценка эффективности деятельности органов, социально-экономическое развитие региона, санктпетербург, социально-экономическое развитие санктпетербурга, социологические опросы, основа данных"
17,2014,Brodovskaya_Siniakov,"интернет, жизнь, ценностные стереотипы, ценностные ориентации, семья, респонденты, качество, брак, ценностные ориентация, материальное благополучие"
18,2014,Dmitrieva,"исполнительная власть, сайт, оценка, федеральные органы, открытость, органы, показатели, экспертная оценка, открытый правительство, основа"
19,2014,Akatkin,"информация, обмен, проблемы, россия, решение, международный обмен, создание, таблы, стратегические информационные системы, настоящая статья"
20,2014,Borisov_Shustrova,"театр, интернет, спектакль, зритель, помощь, спектакли, театральная жизнь, современный театр, технологии, режиссёр"
21,2014,Lyapin,"одиночество, полнотекстовый поиск, факт, распределённая среда, создание, проект, термины, поддержка, человек, целое"
22,2014,Soms,"публикация, тема, значение, ключевые слова, инфоресурс, темы, поправочная константа, показатели охвата, новые публикации, список"
23,2014,Kolodin,"участники, тестирование, система, результаты, анкетирование, работа, клиенты, результат, доступ, анализ"
24,2014,Danilina,"произведения, авторские тексты, сила, учреждения, цифровая форма, учебные цели, согласие автора, выплаты вознаграждения, цапенко, произведение"
25,2014,Smorgunov,"сетевое научение, организационное научение, организация, обучение, научение, знания, электронное правительство, правительство, отношение, граждане"
26,2014,Brodovskaya,"клуб, великие книги, школа, жизнь, участники исследования, участники, книги, время, возможность, социальные медиа"
27,2014,Yatsenko,"атомная спектроскопия, электронная структура атомов, гротриана, спектральные данные, развитие, переходы, спектральная информация, информационные системы, информационная система, база данных"
28,2014,Baranov,"электронное правительство, ростовская область, граждане, россия, качество, российская федерация, формирование, внедрение, местное самоуправление, создание"
29,2014,Ryabchenko,"реализаторы, лидеры мнений, интернет, публичная политика, сенсоры, связь, пользователи, читатели, сообщества, создание"
30,2014,Chizhik,"интернет, массовая информация, посты, аудитория, читательская аудитория, пользователи, новости, сеть, новые медиа, новые медиа-формы"
31,2014,Brodovskaya_Karzubov,"интернет, развитие, индекс, социальные сети, политические системы, глобальная сеть, страна, проект, уровень развития, сетевая готовность"
32,2014,Chugunov,"электронное правительство, тематический моделирование, тематика, темы, новостные сообщения, перплексити, слова, электронные услуги, кластерный анализ, число"
33,2014,Kudinov,"электронное участие, красивый петербург, мобильные технологии, помощь, граждане, мобильные устройства, государственная власть, городская среда, городские проблемы, решение"
34,2014,Vidyasova,"открытые данные, россия, российская федерация, ульяновская область, портал, открытый правительство, открытые государственные данные, социальные медиа, тематика, государственная власть"
35,2014,Prokudin,"научные исследования, научная деятельность, система, информация, возможность, сервисы, пользователи, комплексная информационная система поддержки, фонды, публикации"
36,2014,Filchenkov,"социальные медиа, предсказания, задача, выборы, стихийные протесты, результаты, критерий, социальные сети, организованные протесты, протесты"
37,2014,Balakshina,"российская федерация, федеральное казначейство, кредитные организации, данные, электронные сообщения, обеспечение, наличные, взаимодействие, центральный банк, форматы обмена"
38,2014,Serebriakov,"предметная область, вещество, свойства, единицы измерения, онтология, связывания, таблицы, классы, формат, исходные данные"
39,2014,Kanygin,"пользователь, знание, представление, помощь, визуализация, предопределённая структура, язык спецификации, социальное знание, случай, правила компиляции"
40,2014,Koltsov,"тема, слово, тематический моделирование, слова, тексты, модель, документ, социальные сети, темы, страна"
41,2014,Vozmishcheva,"студент, английский язык, интернет, информационная среда, высочайшая математика, билингвистический обучение, курсовые проекты, область, курс, информация"
42,2014,Kazakov,"социальные сети, социальная сеть, социальные сетевые сервисы, реальные социальные сети, сервисы, пользователи, современные социальные сетевые сервисы, термин, субъект, система"
43,2014,Trakhtenberg,"информационные технологии, внедрение, медицинские информационные системы, угроза, сотрудники, женщина, проблемы, врачи, соответствие, преимущества"
44,2014,Tarumova,"сайт, московское университет, история, российская печать, ломоносов, журналы, журнал, газета, московские ведомости, ведомости"
45,2014,Kapterev,"система, профориентация, тест, склонности, разработка, дальнейшая работа, формирование, частность, учёт, работа"
46,2014,Belinskaya,"работа, библиотека, российская академия наук, сайт, сохранность, создание, оцифровка, отдел, автоматизация, центральная библиотека"
47,2014,Peskova,"голосование, избиратель, электронное голосование, голос, выборы, интернет, система, помощь, использование, дистанционное электронное голосование"
48,2014,Zakharov,"частота, слово, словарь, ранг, русский язык, компьютерная лингвистика, лингвистика, корпус, коллокат, анализ"
49,2014,Filippova,"массовая коммуникация, бразилия, россия, рекламный рынок, телевидение, интернет, журналы, страны, развитие, информация"
50,2014,Mbogo,"интернет, современное общество, решение, система, научная электронная библиотека, рамки, научная информация, берлинская декларация, создание, публикация"
51,2014,Borisov_Zakharkina,"портал, новая сцена, плеер, возможность, трансляция, многопотоковое онлайн-вещание, александринский театр, технологии, реализация, использование"
52,2014,Kulik,"государство, граждане, общество, демократия, сетевое общество, правление, интересы, социальные сети, участие, россия"
53,2014,Pimenov,"путеводитель, ссылки, интернет, рубрика, информация, тематические рубрики, предметная область, поиск информации, информационное поиск, содержание"
54,2014,Smirnov,"система, оптическое распознавание, разработанная система, отсутствие времени, ресурсы, распознавание, работа, основа, текст, рисунок"
55,2014,Makarov,"библиотека, пгниу, пространство, читальные залы, фонды, оборудование, библиотекари, электронный каталог, электронная книговыдача, электронная библиотека"
56,2014,Noskov,"система, видеолекция, число, слайды, лекция, лектор, видео, трёхмерная графика, создание, преподаватель"
57,2014,Koshcheeva,"глагол, учёт, устойчивые словосочетания, глагольно-именные словосочетания, выделение коллокаций, текст, контекст, частеречной принадлежность коллоката, увеличение ширины контекста, русский язык"
58,2014,Lavrentyev,"учебное процесс, смешанный обучение, студенты, преподаватель, учебный процесс, формат, преподаватели, возможность, учебные материалы, учебные курсы"
59,2014,Belova,"нижегородская область, интернет, электронный гражданин, компьютерная грамотность, социальные сети, граждане, реклама, проект, сеть, связь"
60,2014,Vtiurina,"электронное правительство, портал, государственные услуги, единое портал, электронные услуги, создание, работа, россия, социальные сети, зарегистрированные пользователи"
61,2014,Borisov,"новая сцена, александринский театр, реализация, технологии, интернет, театральные представления, жесты, театральное представление, реальный время, процесс представления"
62,2013,Yakushev,"пользователи, социальная сеть, связь, связи, признаки, сеть, социальные сети, признак, коэффициент, жаккара"
63,2013,Talbonen,"текстовая информация, коллекция изображений, помощь, основа, поиск, экспертное оценивание, текстовая коллекция, программный комплекс, изображения, цифровые исторические коллекции"
64,2013,Platonov,"интернет, сайт, анализ, такой образ, наличие, официальное сайт института, дальневосточный геологический институт, научное институт, работа, наумова"
65,2013,Bogomolova,"государственное управление, предметная область, социальные услуги, россия, социальная помощь, форма, термины, онтология, соответствие, работа"
66,2013,Novolodskaya,"сеть, человек, текст, слово, интернет, общество, автор, способы, смена, ризом"
67,2013,Ivanchenko,"студенты, преподаватели, мобильные устройства, мобильные технологии, сервисы, использование, сравнение, сервис, внедрение, образовательный процесс"
68,2013,Lipuntsov,"сущность, учебное план, основа, управление, рисунок, данные, статистические данные, предметная область, образовательное учреждение, баллы"
69,2013,Karnup,"интернет, русский язык, частота, английский язык, сеть, такой образ, твиттер, заимствование, частота словоформ, межличностный общение"
70,2013,Mbogo,"открытый доступ, информационное общество, решение, исследователи, информация, научные исследования, берлинская декларация, возможность, статья, система"
71,2013,Bershadskaya,"электронное правительство, портал, социальные сети, социальные медиа, российская общественная инициатива, государственные услуги, документы, исследуемая тематика, результат, работа"
72,2013,Peskova,"провайдер, облачные технологии, облака, клиент, инфраструктура, целевая аудитория, степень полезности, степень зрелости, технологии, рынок"
73,2013,Trakhtenberg,"портал, услуги, граждане, участники, пользователи, государственные услуги, запись, электронные услуги, получение, врач"
74,2013,Ruzanova,"карелия, муниципальные услуги, электронное правительство, республика, развитие, органы, работа, российская федерация, создание, местное самоуправление"
75,2013,Solovjova,"обучение, учебное материал, преподаватели, создание, учебные материалы, использование, учебный скринкаста, данная статья, учёт, студенты"
76,2013,Zakharkina_Mbogo,"технологии, проект, виртуальная лаборатория, реализация, контент, такой образ, функциональность, категория, категории, использование"
77,2013,Grigoryuk,"база данных, данные, управление, помощь, поиск, основа, анализ, структурная схема, настоящее время, фактор"
78,2013,Brodovskaya,
79,2013,Boyarsky,"слово, предложения, предлог, существительное, словосочетание, класс, наречие, словарь, прилагательное, слова"
80,2013,Brodovskaya,"статья, реализованный московский государственный гуманитарные университет имени, основные тенденции развития, некоторые результаты исследования, современная россия, российские пользователи, политические функции, политическая субъектность, особенности восприятия, глобальная сеть"
81,2013,Arzumanyan,"онтология, концептуальные карты, знания, необходимость, визуализация, такой образ, концептуальное моделирование, компьютерные науки, развитие, поиск"
82,2013,Aksarin,"интернет, новая сцена, театр, александринский театр, открытие, зритель, спектакль, театральное представление, новые технологии, экран"
83,2013,Moiseichev,"свободные лицензии, россия, авторское право, рамки, свободные лицензия, открытые инновации, модель, открытые образовательные ресурсы, материалы, развитие"
84,2013,Boykov,"примеры, термин, тезаурус, поэтология, поле, стих, метрика, художественная речь, часть, целое"
