Index,Year,Name,KW
1,2022,Kogan,"корпусной лингвистики, корпусной, подходов корпусной, лингвистики, ООР, области корпусной, корпусов, корпуса, онлайн корпусов, корпусной лингводидактики"
2,2022,Maksimov,"смысл, множество, например, объекта, рис, граф, текста, объект, значение, набор"
3,2022,ChizhikMelnikova,"данных, данные, текстовых данных, медицинских данных, медицинских, Датасет, информации, симптомов, Обработка текстовой, естественном языке"
4,2022,ChizhikEgorov,"симптомов, пользователя, Егоров Введение, Мультимодальные интеллектуальные, интеллектуальные ассистенты, данных, данные, задачи, взаимодействия, пациента"
5,2022,Solovyev,"русского языка, языка, слов, русского, машинное обучение, респондентов, обоих видов, Методика создания, создания семантических, словарь"
6,2022,Vissio,"русских заимствований, якутского языка, заимствований, языка, Рис, русских, модели, якутского, словоформ, якутских"
7,2022,ChizhikMelnikovaZakharov,"социального настроения, данных, тональности комментариев, настроения, настроение, тональности, комментариев, социальное настроение, Рис, является"
8,2014,Kuzmina,"учебном процессе, обучения, образовательной деятельности, процессе, дистанционного обучения, деятельности, информационных технологий, ИКТ, технологий, является"
9,2014,Bogoraz,"социальные сети, социальной сети, сети, социальных сетей, социальных сетях, социальных, социальная сеть, пользователя, социальные, социальной"
10,2014,Grigoryeva,"пожилых ИКТ, пожилых людей, пожилых, ИКТ, людей, возраста, назначения пенсии, Университет ИТМО, работы, назначения"
11,2014,Dyakova,"коррупцией, борьбы, локальная административная, административная традиция, власти, РАН Ссылки, органов власти, управления, электронного правительства, государственного управления"
12,2014,Lizunova,"пространство, информационное пространство, медиапространства, медиа, информации, информационного общества, информационное, массовой информации, социальное пространство, информационного"
13,2014,Adaskina,"слов, релевантных слов, слова, алгоритма, семантических классов, связи, релевантных, пополнения, Алгоритм, пополнения семантических"
14,2014,Grokhovskiy,"юникоде длиной, тип, тибетской грамматической, строка, тэг, юникоде, грамматической терминологии, TEI, грамматической, данных"
15,2014,Zalesskaya,"ключевого слова, мер ассоциации, коллокаций, выявления коллокаций, ассоциации, слова, сочетаний, встречаемости ключевого, тексте, мер"
16,2014,Kalinichenko,"социально-экономического развития, развития региона, развития, государственной власти, органов государственной, прогнозирования, ИАО, региона, власти Санкт-Петербурга, Санкт-Петербурга"
17,2014,Brodovskaya_Siniakov,"ценностных ориентаций, молодежи, сети Интернет, Интернет, ценностных, Интернета, исследования, ценностные, жизни, среди"
18,2014,Dmitrieva,"исполнительной власти, органов исполнительной, открытости, власти, органов, органов власти, открытости органов, исполнительной, оценки открытости, федеральных органов"
19,2014,Akatkin,"обмена информацией, информацией, обмена, моделей данных, данных, Проблемы, России, проблемы импортозамещения, моделей, информацией США"
20,2014,Borisov_Shustrova,"театр, театра, Современный театр, Интернет, разных, спектакля, театральной жизни, жизни, современного театра, помощью"
21,2014,Lyapin,"полнотекстового поиска, поиска, полнотекстового, полнотекстового запроса, T-Libra, запроса, одиночество, рамках, распределенной среды, Университет ИТМО"
22,2014,Soms,"показателей охвата, охвата, публикаций, охвата аудитории, показатели охвата, публикации, ключевых слов, охвата публикаций, новых публикаций, показателей"
23,2014,Kolodin,"системы, опросов, проведения опросов, отчётов, данных, работы, отчёт, результаты, сервиса, Российской Академии"
24,2014,Danilina,"произведения, правовые положения, правовые, автора, авторских текстов, целях, согласия автора, положения, учебных целях, учебных"
25,2014,Smorgunov,"научение, сетевое научение, организации, научения, организационное научение, Электронное правительство, электронного правительства, сетевого научения, правительства, сети"
26,2014,Brodovskaya,"Школа великих, великих книг, книг, великих, Школа, исследования, участников, клубе, сообщений, участников исследования"
27,2014,Yatsenko,"данных, атомной спектроскопии, спектральных данных, диаграмм Гротриана, систем, спектроскопии, ЭСА, атомной, Электронная структура, атомов"
28,2014,Baranov,"электронного правительства, Ростовской области, развития электронного, развития, правительства, электронного, Российской Федерации, Ростовской, услуг, области"
29,2014,Ryabchenko,"web, сети, Интернет, online-социальных сетей, публичной политики, пользователей, связи, лидеры мнений, сообщества, пространства"
30,2014,Chizhik,"СМИ, массовой информации, информации, сети Интернет, традиционных СМИ, читательской аудитории, аудитории, сети, аудитории СМИ, Интернет"
31,2014,Brodovskaya_Karzubov,"Интернета, развития Интернета, развития, развития ИКТ, ИКТ, уровень развития, проникновения Интернета, Интернет-коммуникации, политических систем, политических"
32,2014,Chugunov,"электронного правительства, новостных сообщений, тематического моделирования, правительства, электронного, СМИ, электронных услуг, услуг, анализа, сообщений"
33,2014,Kudinov,"электронного участия, Красивый Петербург, электронного, участия, граждан, механизмов электронного, мобильных, АИС, Красивый, мобильных технологий"
34,2014,Vidyasova,"открытых данных, данных, открытых, Российской Федерации, России, государственных данных, открытых государственных, открытого правительства, власти, Российской"
35,2014,Prokudin,"научных исследований, научной деятельности, научных, научной, поддержки научных, деятельности, системы, пользователей, исследований, информационной системы"
36,2014,Filchenkov,"социальных медиа, социальных, выборов, предсказания, медиа, протестов, результатов выборов, Задача предсказания, является, протесты"
37,2014,Balakshina,"Российской Федерации, Федерального казначейства, Федерации, Российской, кредитными организациями, обмена, федерального, взаимодействия, казначейства, территории Российской"
38,2014,Serebriakov,"предметной области, Linked Open, данных, LOD, предметной, области, пространстве LOD, QUDT, онтологии, RDF"
39,2014,Kanygin,"знания, помощью, например, структуры, виде, пользователя, предопределенной структуры, представления, визуализации, управления"
40,2014,Koltsov,"тематического моделирования, текстов, корпуса текстов, темы, слов, Живого Журнала, слова, моделирования, корпуса, тематического"
41,2014,Vozmishcheva,"английском языке, обучения, студентов, билингвистического обучения, английском, математики, высшей математики, студента, русском, языке"
42,2014,Kazakov,"социальных сетей, социальных, социальных сетевых, Социальные сети, социальной сети, Интернет, реальных социальных, социальных интернет, Социальные, сервисов"
43,2014,Trakhtenberg,"информационных технологий, информационных систем, медицинских информационных, медицинских, информационных, систем, здравоохранения, медицинских систем, технологий, медицинских учреждений"
44,2014,Tarumova,"Московского университета, российской печати, музей российской, печати, Виртуальный музей, Московского, Московские ведомости, Истории, периодических изданий, университета"
45,2014,Kapterev,"тестирования, тестов, системы, профориентации, профессионального, профессии, профессий, личности, базы, результатов"
46,2014,Belinskaya,"БАН, академии наук, Российской академии, академии, наук, Российской, системы БАН, РАН, фонд БАН, сайте БАН"
