социального самочувствия горожан;0.5076
районных сообществ города;0.4908
алгоритмов логистическая регрессия;0.4803
индекс социального самочувствия;0.478
привязкой геолокации авторы;0.4649
коммуникации членов сообществ;0.4585
сообществ города санкт;0.4559
постам районных сообществ;0.4525
самочувствия горожан;0.4488
конечная цель авторов;0.4474
алгоритмов машинного обучения;0.4466
внимания исследования обращается;0.4463
машинного обучения целью;0.4461
цель авторов интерактивная;0.4446
самочувствия горожан связи;0.4408
привязкой геолокации;0.428
геолокации авторы предлагают;0.4258
социального самочувствия;0.4244
районных сообществ;0.4219
отражающая индекс социального;0.4184
