            word      normal_form       tag
             The              the      LATN
         вЂњpeak          вђњpeak      UNKN
         gripвЂќ          gripвђќ      UNKN
            tyre             tyre      LATN
         secrets          secrets      LATN
            that             that      LATN
             are              are      LATN
             key              key      LATN
              to               to      LATN
            F1вЂ             f1вђ      UNKN
               ™                ™      UNKN
               s                s      LATN
      qualifying       qualifying      LATN
          battle           battle      LATN
             The              the      LATN
           ultra            ultra      LATN
 competitiveness  competitiveness      LATN
              of               of      LATN
             the              the      LATN
         Formula          formula      LATN
               1                1 NUMB,intg
           field            field      LATN
            this             this      LATN
            year             year      LATN
           means            means      LATN
             the              the      LATN
            most             most      LATN
        marginal         marginal      LATN
              of               of      LATN
           gains            gains      LATN
             can              can      LATN
            have             have      LATN
               a                a      LATN
            huge             huge      LATN
          impact           impact      LATN
              on               on      LATN
             the              the      LATN
         outcome          outcome      LATN
              of               of      LATN
               a                a      LATN
           grand            grand      LATN
            prix             prix      LATN
         weekend          weekend      LATN
               .                .      PNCT
              If               if      LATN
               a                a      LATN
          driver           driver      LATN
             can              can      LATN
         extract          extract      LATN
            just             just      LATN
             one              one      LATN
            more             more      LATN
           tenth            tenth      LATN
             out              out      LATN
              of               of      LATN
           their            their      LATN
           tyres            tyres      LATN
            over             over      LATN
               a                a      LATN
          single           single      LATN
      qualifying       qualifying      LATN
             lap              lap      LATN
               ,                ,      PNCT
            that             that      LATN
             can              can      LATN
              be               be      LATN
             the              the      LATN
      difference       difference      LATN
         between          between      LATN
         getting          getting      LATN
         knocked          knocked      LATN
             out              out      LATN
              in               in      LATN
              Q1               q1      LATN
              or               or      LATN
              Q2               q2      LATN
              or               or      LATN
          making           making      LATN
              it               it      LATN
             all              all      LATN
             the              the      LATN
             way              way      LATN
         through          through      LATN
              to               to      LATN
             the              the      LATN
           final            final      LATN
        shootout         shootout      LATN
               .                .      PNCT
             And              and      LATN
         further          further      LATN
              up               up      LATN
              in               in      LATN
             the              the      LATN
           fight            fight      LATN
              at               at      LATN
             the              the      LATN
           front            front      LATN
               ,                ,      PNCT
            such             such      LATN
         margins          margins      LATN
             are              are      LATN
        defining         defining      LATN
         whether          whether      LATN
         drivers          drivers      LATN
             are              are      LATN
         getting          getting      LATN
           stuck            stuck      LATN
              in               in      LATN
               a                a      LATN
         chasing          chasing      LATN
            pack             pack      LATN
          battle           battle      LATN
              or               or      LATN
             can              can      LATN
           enjoy            enjoy      LATN
            some             some      LATN
           clean            clean      LATN
             air              air      LATN
              to               to      LATN
             gun              gun      LATN
             for              for      LATN
               a                a      LATN
          podium           podium      LATN
               .                .      PNCT
              As               as      LATN
        Mercedes         mercedes      LATN
       technical        technical      LATN
        director         director      LATN
           James            james      LATN
         Allison          allison      LATN
            said             said      LATN
        recently         recently      LATN
               :                :      PNCT
       вЂњAround        вђњaround      UNKN
             the              the      LATN
            part             part      LATN
              of               of      LATN
             the              the      LATN
          battle           battle      LATN
              we               we      LATN
               '                '      PNCT
              re               re      LATN
        fighting         fighting      LATN
               ,                ,      PNCT
               a                a      LATN
             few              few      LATN
      hundredths       hundredths      LATN
             can              can      LATN
            make             make      LATN
               a                a      LATN
      difference       difference      LATN
       sometimes        sometimes      LATN
             and              and      LATN
               a                a      LATN
          couple           couple      LATN
              of               of      LATN
          tenths           tenths      LATN
           would            would      LATN
            make             make      LATN
             all              all      LATN
             the              the      LATN
      difference       difference      LATN
              in               in      LATN
             the              the      LATN
           world            world      LATN
               .                .      PNCT
             вЂќ              вђќ      UNKN
             One              one      LATN
              of               of      LATN
             the              the      LATN
        critical         critical      LATN
         factors          factors      LATN
              in               in      LATN
         hitting          hitting      LATN
              or               or      LATN
         missing          missing      LATN
           those            those      LATN
      hundredths       hundredths      LATN
              or               or      LATN
          tenths           tenths      LATN
              is               is      LATN
            tyre             tyre      LATN
     preparation      preparation      LATN
              in               in      LATN
      qualifying       qualifying      LATN
              вЂ               вђ      UNKN
               “                “      PNCT
              if               if      LATN
             you              you      LATN
            miss             miss      LATN
             the              the      LATN
          window           window      LATN
            then             then      LATN
            your             your      LATN
           hopes            hopes      LATN
             are              are      LATN
          pretty           pretty      LATN
            much             much      LATN
            game             game      LATN
            over             over      LATN
               .                .      PNCT
             But              but      LATN
             the              the      LATN
         process          process      LATN
              of               of      LATN
         finding          finding      LATN
             the              the      LATN
            peak             peak      LATN
     performance      performance      LATN
              is               is      LATN
             far              far      LATN
            from             from      LATN
 straightforward  straightforward      LATN
             and              and      LATN
              it               it      LATN
              is               is      LATN
             one              one      LATN
            that             that      LATN
         drivers          drivers      LATN
             and              and      LATN
       engineers        engineers      LATN
           spend            spend      LATN
           hours            hours      LATN
              on               on      LATN
           grand            grand      LATN
            prix             prix      LATN
        weekends         weekends      LATN
          trying           trying      LATN
              to               to      LATN
          better           better      LATN
      understand       understand      LATN
             and              and      LATN
         exploit          exploit      LATN
               .                .      PNCT
              In               in      LATN
              an               an      LATN
          effort           effort      LATN
              to               to      LATN
             try              try      LATN
              to               to      LATN
            help             help      LATN
           bring            bring      LATN
            some             some      LATN
         insight          insight      LATN
              to               to      LATN
            this             this      LATN
            area             area      LATN
               ,                ,      PNCT
       Autosport        autosport      LATN
           spoke            spoke      LATN
              to               to      LATN
       PirelliвЂ        pirelliвђ      UNKN
               ™                ™      UNKN
               s                s      LATN
            head             head      LATN
              of               of      LATN
             car              car      LATN
          racing           racing      LATN
             and              and      LATN
              F1               f1      LATN
           Mario            mario      LATN
           Isola            isola      LATN
              to               to      LATN
         explain          explain      LATN
            what             what      LATN
        elements         elements      LATN
             are              are      LATN
              at               at      LATN
            play             play      LATN
             and              and      LATN
             why              why      LATN
             the              the      LATN
          target           target      LATN
              is               is      LATN
            such             such      LATN
               a                a      LATN
            hard             hard      LATN
             one              one      LATN
              to               to      LATN
           reach            reach      LATN
               .                .      PNCT
           вЂњIf            вђњif      UNKN
              we               we      LATN
            look             look      LATN
              at               at      LATN
               a                a      LATN
           graph            graph      LATN
               ,                ,      PNCT
             the              the      LATN
            grip             grip      LATN
              of               of      LATN
             the              the      LATN
            tyre             tyre      LATN
              is               is      LATN
              on               on      LATN
             the              the      LATN
        vertical         vertical      LATN
    co-ordinates     co-ordinates      LATN
             and              and      LATN
             the              the      LATN
     temperature      temperature      LATN
              is               is      LATN
              on               on      LATN
             the              the      LATN
      horizontal       horizontal      LATN
               ,                ,      PNCT
             вЂќ              вђќ      UNKN
              he               he      LATN
            said             said      LATN
               .                .      PNCT
           вЂњIn            вђњin      UNKN
             the              the      LATN
            cold             cold      LATN
               ,                ,      PNCT
             any              any      LATN
        compound         compound      LATN
            that             that      LATN
              is               is      LATN
       developed        developed      LATN
             for              for      LATN
