Phrase,Form,Role,Type,KeyLexemes
самым,APRO,степень,Circum,адъективные_конструкции
самым,APRO,степень,Circum,близкий
самым,APRO,степень,Circum,верный
самым,APRO,степень,Circum,достоверный
самым,APRO,степень,Circum,доступный
самым,APRO,степень,Circum,заметный
самым,APRO,степень,Circum,интересный
самым,APRO,степень,Circum,неверный
самым,APRO,степень,Circum,недоступный
самым,APRO,степень,Circum,незаметный
самым,APRO,степень,Circum,неинтересный
самым,APRO,степень,Circum,северный
самым,APRO,степень,Circum,скверный
такой,APRO,степень,Circum,адъективные_конструкции
такой,APRO,степень,Circum,близкий
такой,APRO,степень,Circum,верный
такой,APRO,степень,Circum,достоверный
такой,APRO,степень,Circum,доступный
такой,APRO,степень,Circum,заметный
такой,APRO,степень,Circum,интересный
такой,APRO,степень,Circum,неверный
такой,APRO,степень,Circum,недоступный
такой,APRO,степень,Circum,незаметный
такой,APRO,степень,Circum,неинтересный
такой,APRO,степень,Circum,северный
такой,APRO,степень,Circum,скверный
не,PART,отрицание,Modal,алкать
потом,ADV,последовательность,Circum,алкать
беспрестанно,ADV,узуальность,Circum,алкать
так,ADV,степень,Circum,алкать
страстно,ADV,степень,Circum,алкать
в божьем деле,в + Sloc,сфера,Circum,алкать
ныне,ADV,время,Circum,алкать
уже,ADV,,Modal,алкать
неутолимо,ADV,интенсивность,Circum,алкать
не,PART,отрицание,Modal,желать
кругом нас,ADV,место,Circum,алкать
кругом нас,ADV,место,Circum,желать
вечно,ADV,узуальность,Circum,алкать
вечно,ADV,узуальность,Circum,желать
вечно,ADV,узуальность,Circum,пожелать
после некоторого молчания,после + Sgen,последовательность,Circum,аплодировать
долго,ADV,длительность,Circum,аплодировать
пусть,PART,,Modal,аплодировать
неистово,ADV,интенсивность,Circum,аплодировать
много,ADV,количество,Circum,аплодировать
ещё громче,ADV,образ действия,Circum,аплодировать
предлагается,Vimpers,речь,Control,аплодировать
как,ADV,степень,Circum,аплодировать
призвать к ответу за нежелание,S,воля,Control,аплодировать
дважды,Sacc,частота,Circum,аплодировать
и,PART,усиление,Modal,аплодировать
дружно и много,ADV,интенсивность,Circum,аплодировать
горячо,ADV,интенсивность,Circum,аплодировать
бурно,ADV,интенсивность,Circum,аплодировать
по-иному,ADV,образ действия,Circum,аплодировать
стоя,Vger,положение тела,Circum,аплодировать
в нужных местах,в + Sloc,фаза,Circum,аплодировать
всегда,ADV,узуальность,Circum,аплодировать
чуть ли не через каждую реплику,через + Sacc,узуальность,Circum,аплодировать
так неистово,ADV,интенсивность,Circum,аплодировать
не,PART,отрицание,Modal,аплодировать
минут десять,Sacc,длительность,Circum,аплодировать
практически стоя,Vger,положение тела,Circum,аплодировать
мысленно,ADV,образ действия,Circum,аплодировать
"столь же бурно, как и при его появлении",ADV,степень,Circum,аплодировать
бы,PART,сослаг.,Gram,аплодировать
будто бы,PART,точность,Modal,аплодировать
от имени нашей фирмы и всего народа москвы,от + Sgen,контрагент,Circum,аплодировать
оглушительно,ADV,степень,Circum,аплодировать
"чуть дольше, чем трио",ADV,длительность,Circum,аплодировать
в «динарзад»,в + Sacc,место,Circum,аплодировать
подняв руки,Vger,образ действия,Circum,аплодировать
слегка вынося руки за барьер ложи,Vger,сопутствующая ситуация,Circum,аплодировать
несколько минут,Sacc,длительность,Circum,аплодировать
здесь,ADV,место,Circum,аплодировать
таким образом,Sins,вводное,Modal,аплодировать
"и вовсе не из внутренней потребности, а из вредности или самой новации ради",из + Sgen,причина,Circum,аплодировать
в первом ряду,в + Sloc,место,Circum,аплодировать
по команде,по + Sdat,причина,Circum,аплодировать
в ленинградском дворце искусств,в + Sloc,место,Circum,аплодировать
после первой части большого концерта,после + Sgen,последовательность,Circum,аплодировать
жарко,ADV,степень,Circum,аплодировать
частенько,ADV,частота,Circum,аплодировать
восторженно,ADV,эмоция,Circum,аплодировать
снова,ADV,узуальность,Circum,аплодировать
в конце,в + Sloc,фаза,Circum,аплодировать
после выступления,после + Sgen,последовательность,Circum,аплодировать
пару раз,Sacc,частота,Circum,аплодировать
-то,PART,,Modal,аплодировать
в итоге,в + Sloc,следствие,Modal,аплодировать
ну,INTJ,,Modal,аплодировать
действительно,PARENTH,точность,Modal,аплодировать
просто,PART,усиление,Modal,арендовать
в москве,в + Sloc,место,Circum,арендовать
уже несколько лет,Sacc,длительность,Circum,арендовать
в красноярском авиационно-техническом колледже,в + Sloc,место,Circum,арендовать
помог,V,социальное взаимодействие,Modal,арендовать
в грассе,в + Sloc,место,Circum,арендовать
как,ADV,степень,Circum,арендовать
не надо,PRAEDIC,необходимость,Modal,арендовать
возможность,S,возможность,Control,арендовать
прибыв в город,Vger,предшествующая ситуация,Circum,арендовать
не смогут,V,возможность,Modal,арендовать
там,ADV,место,Circum,арендовать
лишь,PART,ограничение,Modal,арендовать
где,ADV,место,Circum,арендовать
попытка,S,попытка,Control,арендовать
здесь же,ADV,место,Circum,арендовать
в зоне действия шенгенской визы,в + Sloc,место,Circum,арендовать
войдя в доверие к руководству московского палеонтологического института,Vger,способ,Circum,арендовать
в константинополе,в + Sloc,место,Circum,арендовать
на их средства,на + Sacc,способ,Circum,арендовать
на новом арбате,на + Sloc ,место,Circum,арендовать
возле морского вокзала,возле + Sgen,место,Circum,арендовать
в одном из автомобильных прокатов в столице египта,в + Sloc,место,Circum,арендовать
на бойком месте,на + Sloc ,место,Circum,арендовать
можно,PRAEDIC,возможность,Control,арендовать
в котором,в + Sloc,место,Circum,арендовать
до перезаключения соглашения,до + Sgen,длительность - предел,Circum,арендовать
тогда,ADV,время,Circum,арендовать
на три часа в неделю,на + Sacc,срок,Circum,арендовать
"понятно, что",PRAEDIC,дискурс,Control,арендовать
через иваныча-старшего,через + Sacc,способ,Circum,арендовать
для выступлений американцев,для + Sgen,цель,Circum,арендовать
сразу,ADV,время наступления,Circum,арендовать
полностью,ADV,охват,Circum,арендовать
у «сити класс»,у + Sgen,контрагент,Circum,арендовать
чаще,ADV,частота,Circum,арендовать
на том же заводе,на + Sloc ,место,Circum,арендовать
в прошлом году,в + Sloc,время,Circum,арендовать
12 августа,Sgen,время,Circum,арендовать
в пик деловой активности,в + Sacc,причина,Circum,арендовать
только,PART,ограничит.,Modal,арендовать
раз в неделю,Sacc,узуальность,Circum,арендовать
бы,PART,условное наклонение,Gram,арендовать
в течение многих лет,в + течение + Sgen,длительность,Circum,арендовать
"разместившись в комфортабельном отеле, которому фантазия архитектора придала причудливую форму огромного океанского лайнера",Vger,предшествующая ситуация,Circum,арендовать
поэтому,ADV,мотивировка,Circum,арендовать
сможет,Vfut,возможность,Control,арендовать
в общем дворе,в + Sloc,место,Circum,арендовать
были,V,прош.,Gram,арендовать
в агентстве хертца,в + Sloc,место,Circum,арендовать
в сша,в + Sloc,место,Circum,арендовать
средь бела дня,среди + Sgen,время,Circum,арестовать
в сорок четвёртом году,в + Sloc,время,Circum,арестовать
в общем,в + Sloc,дискурс,Modal,арестовать
в общем,в + Sloc,дискурс,Modal,арестовывать
тотчас вслед за этим,ADV,последовательность,Circum,арестовать
тотчас вслед за этим,ADV,последовательность,Circum,арестовывать
тут же,ADV,время наступления,Circum,арестовать
тут же,ADV,время наступления,Circum,арестовывать
будто,PART,точность,Modal,арестовать
будто,PART,точность,Modal,арестовывать
во-первых,PARENTH,дискурс,Modal,арестовать
во-первых,PARENTH,дискурс,Modal,арестовывать
под предельно низкий процент,под + Sacc,образ действия,Circum,ассигновать
щедро,ADV,охват,Circum,ассигновать
"из бюджета пентагона на 2005 финансовый год, равного 447 млрд долларов,",из + Sgen,источник,Circum,ассигновать
в 2005 финансовом году (начинается 1 октября),в + Sloc,время,Circum,ассигновать
из этой суммы,из + Sgen,множество,Circum,ассигновать
в следующем году,в + Sloc,время,Circum,ассигновать
просто,PART,,Modal,ассигновать
и,PART,усиление,Modal,ассигновать
в рамках военной помощи,в + рамках + Sgen,фоновая ситуация,Circum,ассигновать
мне,Sdat,конечный посессор,Circum,ассигновать
для поддержания конкурентоспособности в условиях растущей интернационализации деревообрабатывающей отрасли,для + Sgen,цель,Circum,ассигновать
уже,ADV,усиление,Modal,ассоциировать
в своей рекламе,в + Sloc,место,Circum,ассоциировать
специфически,ADV,образ действия,Circum,ассоциировать
в приконтактовых участках родингитов,в + Sloc,место,Circum,ассоциировать
непосредственно,ADV,непосредственность,Circum,ассоциировать
привычно,ADV,узуальность,Circum,ассоциировать
привыкший,V,,Control,баловать
безмерно,ADV,степень,Circum,баловать
не приходится,Vimpers,необходимость,Control,баловать
без меры,без + Sgen,степень,Circum,баловать
со страстью,с + Sins,образ действия,Circum,баловать
не,PART,отрицание,Modal,баловать
на мою голову,на + Sacc,оценка последствий,Circum,баловать
стыдно,PRAEDIC,эмоция,Modal,баловать
недолго,ADV,длительность,Circum,баловать
как никого больше,как + Sacc,степень,Circum,баловать
пусть,PART,,Modal,баловать
был недосуг,PRAEDIC,достижение цели,Modal,баловать
со всем пылом нерастраченной материнской любви и нежности,с + Sins,образ действия,Circum,баловать
в этом году,в + Sloc,время,Circum,баловать
нигде в мире как в россии,в + Sloc,место,Circum,баловать
слишком,ADV,степень,Circum,баловать
что,ADV,причина,Circum,банный
что,ADV,причина,Circum,лист
что,ADV,причина,Circum,приставать
что,ADV,причина,Circum,пристать
мог,V,возможность,Control,бег
мог,V,возможность,Control,бега
мог,V,возможность,Control,пуститься
цепляясь за ветки,Vger,сопутствующая ситуация,Circum,бежать
"рядом, задыхаясь, перегоняя друг друга",ADV,место,Circum,бежать
хотел,V,воля,Control,бежать
будет,Vfut,буд.,Gram,бежать
кинулся,V,движение,Control,бежать
переваливаясь на очень высоких каблуках,Vger,образ действия,Circum,бежать
первый,A,депиктив,Circum,бежать
себя не помня,Vger,сопутствующая ситуация,Circum,бежать
бросается,Vpraes,достижение цели,Control,бежать
хорошо,ADV,оценка,Circum,бежать
быстро,ADV,скорость,Circum,бежать
нарочно,ADV,цель,Circum,бежать
бросился,V,достижение цели,Control,бежать
будут,Vfut,буд.,Gram,бежать
вдруг взвизгнув,Vger,предшествующая ситуация,Circum,бежать
надо,PRAEDIC,необходимость,Control,бежать
сейчас,ADV,время,Circum,бежать
в обед,в + Sacc,время,Circum,бежать
лучше,PART,,Modal,бежать
почти что,ADV,точность,Circum,бежать
было,V,прош.,Gram,бежать
как очумевшая овца,как + Sx,сравнение,Circum,бежать
ещё,ADV,,Modal,бежать
кинулся,V,достижение цели,Control,бежать
не,PART,отрицание,Modal,бежать
успешно,ADV,результат,Circum,бежать
прибрав к рукам все сокровища хозяина,Vger,предшествующая ситуация,Circum,бежать
без оглядки.,без + Sgen,скорость,Circum,бежать
решился,V,план,Control,бежать
в прозрачном облачке,в + Sloc,место,Circum,бежать
даже,PART,фокус,Modal,бежать
дальше,ADV,дискурс,Circum,бежать
снова,ADV,узуальность,Circum,бежать
подобно ей,подобно + Sdat,сравнение,Circum,бежать
должны,Abrev,внешняя необходимость,Control,бежать
поскорее,ADV,скорость,Circum,бежать
как можно быстрее и дальше,ADV,скорость,Circum,бежать
следом,ADV,,Circum,бежать
уже,ADV,,Modal,бежать
изо всех,из + Sgen,скорость,Circum,бежать
из палаток,из + Sgen,начальная точка,Circum,бежать
тут,ADV,дискурс,Circum,белка
тут,ADV,дискурс,Circum,как
тут,ADV,дискурс,Circum,колесо
тут,ADV,дискурс,Circum,крутиться
месяцами,Sins,длительность,Circum,белка
месяцами,Sins,длительность,Circum,как
месяцами,Sins,длительность,Circum,колесо
месяцами,Sins,длительность,Circum,крутиться
где,ADV,место,Circum,беречь
где,ADV,место,Circum,сберечь
в ней,в + Sloc,место,Circum,беречь
в ней,в + Sloc,место,Circum,сберечь
-то,PART,,Modal,беречь
-то,PART,,Modal,сберечь
свято,ADV,степень,Circum,беречь
свято,ADV,степень,Circum,сберечь
смолоду,ADV,время - предел,Circum,беречь
смолоду,ADV,время - предел,Circum,сберечь
натужно,ADV,образ действия,Circum,беречь
натужно,ADV,образ действия,Circum,сберечь
надо,PRAEDIC,необходимость,Control,беречь
надо,PRAEDIC,необходимость,Control,сберечь
весьма,ADV,степень,Circum,беречь
весьма,ADV,степень,Circum,сберечь
как сокровище,как + Sx,сравнение,Circum,беречь
как сокровище,как + Sx,сравнение,Circum,сберечь
что ж,PART,причина,Modal,беречь
что ж,PART,причина,Modal,сберечь
давайте,PART,побудит.,Modal,беречь
давайте,PART,побудит.,Modal,уберечь
как зеницу ока,как + Sx,сравнение,Circum,беречь
как зеницу ока,как + Sx,сравнение,Circum,уберечь
как драгоценность,как + Sx,сравнение,Circum,беречь
