bigram;freq
('корпусной', 'лингвистики');17
('обучении', 'ия');8
('корпусной', 'лингвистике');7
('подходов', 'корпусной');7
('обучения', 'ия');5
('открытом', 'доступе');5
('онлайн', 'корпусов');5
('преподавателей', 'ия');5
('планов', 'уроков');5
('учебные', 'материалы');5
('открытых', 'образовательных');4
('английского', 'языка');4
('учебных', 'материалов');4
('ленко', 'шиманска');4
('образовательных', 'ресурсов');4
('области', 'корпусной');4
('свободном', 'доступе');4
('средней', 'школы');4
('корпусной', 'лингводидактики');4
('открытое', 'образование');3
('иностранных', 'языков');3
('лингвистики', 'обучении');3
('план', 'урока');3
('использования', 'подходов');3
('которые', 'можно');3
('видео', 'урока');3
('использованию', 'корпусов');3
('н', 'вяткиной');3
('корпусного', 'менеджера');3
('русского', 'языка');3
('записи', 'вебинаров');3
('ланкастерском', 'университете');2
('онлайн', 'корпуса');2
('оон', 'юнеско');2
('своем', 'канале');2
('т', 'д');2
('рекомендациях', 'развитию');2
('проблемой', 'является');2
('продолжительностью', 'мин');2
('множественного', 'числа');2
('сайте', 'университета');2
('сайта', 'нкри');2
('высшего', 'образования');2
('речи', 'диктора');2
('университета', 'квинсленда');2
('образовательными', 'ресурсами');2
('доступе', 'онлайн');2
('словарного', 'запаса');2
('расширение', 'словарного');2
('является', 'расширение');2
('т', 'макэнери');2
('открытыми', 'образовательными');2
('презентации', 'докладчиков');2
('доступные', 'онлайн');2
('доступ', 'ним');2
('доступных', 'онлайн');2
('мини', 'уроков');2
('изучающих', 'английский');2
('английский', 'язык');2
('язык', 'иностранный');2
('русскоязычном', 'сегменте');2
('сегменте', 'интернета');2
('вебинары', 'проходили');2
('исследований', 'области');2
('национального', 'корпуса');2
('открытой', 'науки');2
('корпуса', 'русского');2
('ия', 'использованием');2
('использованием', 'подходов');2
('находящиеся', 'открытом');2
('созданию', 'собственного');2
('описанных', 'статьях');2
('дальнейшего', 'исследования');2
('л', 'антони');2
('требует', 'дальнейшего');2
('видео', 'колеблется');2
('н', 'вяткина');2
('вебинаров', 'доступны');2
('доступны', 'канале');2
('проведенный', 'анализ');2
('школы', 'й');2
('использовать', 'изучении');2
('созданных', 'оор');2
('специального', 'корпуса');2
('собственного', 'специального');2
('лингводидактики', 'обучении');2
('верные', 'слова');2
('корпуса', 'коллекции');2
('науку', 'информацию');2
('письменных', 'навыков');2
('моок', 'курсы');2
('апробация', 'курса');2
('введение', 'материала');2
('проектной', 'деятельности');2
('нкря', 'содержит');2
('можно', 'использовать');2
('находящихся', 'свободном');2
('ия', 'желающих');2
('использованием', 'корпусов');2
('целый', 'ряд');2
('продолжительностью', 'минут');2
('подходов', 'кл');2
('повышения', 'квалификации');2
('преподавания', 'ия');2
('открытый', 'доступ');2
('самообразования', 'преподавателей');2
('курса', 'описана');2
('будапештская', 'инициатива');2
('недостаточная', 'подготовка');2
('контексте', 'парадигмы');2
('образование', 'науку');2
('примеры', 'заданий');2
('данном', 'случае');2
('педагогическую', 'практику');2
('подготовка', 'преподавателей');2
('привязки', 'планов');2
('задания', 'основе');2
('такая', 'возможность');1
('видео', 'месяц');1
('х', 'видео');1
('контексте', 'статьи');1
('представляется', 'х');1
('возможность', 'представляется');1
('субтитрами', 'видео');1
('показ', 'сопровождается');1
('сопровождается', 'субтитрами');1
