Words;Frequencies;Ranks;Logarithm of Frequencies;Logarithm of ranks
корпусной;29;1;1.462397997898956;0.0
ия;22;2;1.3424226808222062;0.30102999566398114
лингвистики;19;3;1.2787536009528289;0.47712125471966244
корпусов;17;4;1.2304489213782739;0.6020599913279623
корпуса;17;5;1.2304489213782739;0.6989700043360187
оор;14;6;1.1461280356782377;0.7781512503836435
онлайн;13;7;1.1139433523068367;0.8450980400142567
видео;13;8;1.1139433523068367;0.9030899869919434
является;12;9;1.0791812460476247;0.9542425094393249
подходов;11;10;1.041392685158225;1.0
например;10;11;1.0;1.041392685158225
заданий;10;12;1.0;1.0791812460476247
языка;10;13;1.0;1.1139433523068367
материалы;10;14;1.0;1.1461280356782377
основе;10;15;1.0;1.1760912590556811
урока;10;16;1.0;1.2041199826559246
использовать;9;17;0.9542425094393249;1.2304489213782739
доступе;9;18;0.9542425094393249;1.2552725051033058
обучении;9;19;0.9542425094393249;1.2787536009528289
можно;8;20;0.9030899869919434;1.301029995663981
использования;8;21;0.9030899869919434;1.322219294733919
области;8;22;0.9030899869919434;1.3424226808222062
использованием;8;23;0.9030899869919434;1.3617278360175928
материалов;8;24;0.9030899869919434;1.380211241711606
кл;8;25;0.9030899869919434;1.3979400086720375
преподавателей;8;26;0.9030899869919434;1.414973347970818
лингвистике;8;27;0.9030899869919434;1.4313637641589871
уроков;8;28;0.9030899869919434;1.447158031342219
которые;7;29;0.8450980400142567;1.462397997898956
языков;7;30;0.8450980400142567;1.4771212547196624
анализ;7;31;0.8450980400142567;1.4913616938342726
г;7;32;0.8450980400142567;1.5051499783199058
нкря;7;33;0.8450980400142567;1.5185139398778873
корпусных;7;34;0.8450980400142567;1.5314789170422551
университета;7;35;0.8450980400142567;1.5440680443502754
задания;7;36;0.8450980400142567;1.556302500767287
содержит;7;37;0.8450980400142567;1.5682017240669948
ресурсов;6;38;0.7781512503836435;1.57978359661681
других;6;39;0.7781512503836435;1.591064607026499
работы;6;40;0.7781512503836435;1.6020599913279623
т;6;41;0.7781512503836435;1.6127838567197355
д;6;42;0.7781512503836435;1.6232492903979003
обучения;6;43;0.7781512503836435;1.6334684555795864
н;6;44;0.7781512503836435;1.6434526764861872
английского;6;45;0.7781512503836435;1.6532125137753435
корпусу;6;46;0.7781512503836435;1.6627578316815739
вебинаров;6;47;0.7781512503836435;1.6720978579357173
сайте;6;48;0.7781512503836435;1.6812412373755872
планов;6;49;0.7781512503836435;1.6901960800285134
учебные;6;50;0.7781512503836435;1.6989700043360185
х;6;51;0.7781512503836435;1.7075701760979363
открытых;5;52;0.6989700043360187;1.716003343634799
образовательных;5;53;0.6989700043360187;1.724275869600789
доступ;5;54;0.6989700043360187;1.7323937598229684
исследования;5;55;0.6989700043360187;1.7403626894942439
открытом;5;56;0.6989700043360187;1.7481880270062005
