Index,Year,Name,KW_rus,KW_eng,Text,Abstract_rus,Abstract_eng
1,2014,Danilina,Авторское право; учебник; книга для чтения,,"Авторские тексты в цифровой форме,
используемые в учебной литературе
Е.А. Данилина, А.М. Цапенко
Научная педагогическая библиотека им. К.Д. Ушинского РАО
danilina55@mail.ru, a.tsapenko@gnpbu.ru
1. Введение
До начала ХХ века свободное воспроизведение
фрагментов авторских текстов в учебниках, в
особенности коротких отрывков в букварях и
книгах для чтения, подразумевалось, как само собой
разумеющееся.
В статье А.М. Цапенко «Детское чтение в
дореволюционной России. Опыт современного
исследования» [4] рассмотрены некоторые
дореволюционные иллюстрированные книги, обзор
которых проведен в альбоме М.В. Сеславинского
«Гирлянда из книг и картинок: Детское чтение в
дореволюционной России» [2]. Анализ
приведенных М.В. Сеславинским примеров текстов
из детских книг показывает, что в таких книгах
зачастую использовались авторские тексты
назидательного характера.
В настоящее время в современной России
правовые положения части четвертой Гражданского
кодекса (далее – ГК РФ) определяют базис,
позволяющий издателям, администраторам учебных
заведений и учителям определять границы
использования авторских текстов в учебной
литературе.
В докладе Е.А. Данилиной и Т.С. Маркаровой
«Практика оцифровки электронных
образовательных ресурсов» [1] обсуждались
правовые проблемы, возникающие при переводе в
цифровую форму учебных произведений.
Докладчики считают, что необходимость
обращения к авторам образовательных ресурсов в
данном случае должна отсутствовать, т.к.
использование предназначено для личных, в
частности, учебных целей.
2. Новеллы отечественного
гражданского права
Федеральный закон от 12.03.2014 N 35-ФЗ ""О
внесении изменений в части первую, вторую и
четвертую Гражданского кодекса Российской
Федерации и отдельные законодательные акты
Российской Федерации"" (далее - Закон N 35-ФЗ)
вносит масштабные перемены в правовую охрану
творческих достижений, произведений науки,
литературы, искусства. Основные новые положения
вступают в силу в период с 1 октября 2014 г. по 1
января 2015 г.
В частности, новыми положениями уточняются
порядок распоряжения исключительным правом и
его границы. Правовые положения ГК РФ в
редакции Закона N 35-ФЗ будут применяться к
правоотношениям, возникшим после даты его
вступления в силу. К правоотношениям, возникшим
до этой даты, внесенные Законом изменения будут
применяться лишь в части прав и обязанностей,
которые возникнут после дня вступления в силу
установленных им поправок.
Важно рассмотреть некоторые новые
положения части четвертой ГК РФ, имеющие
отношение к случаям свободного воспроизведения
авторских текстов.
Правовые положения ст.1266 ГК РФ «Право на
неприкосновенность произведения и защита
произведения от искажений» дополнены новой
нормой п.3: «В случаях, предусмотренных пунктом
5 статьи 1233 и пунктом 2 статьи 1286.1 настоящего
Кодекса, автор может дать согласие на внесение в
будущем изменений, сокращений и дополнений в
свое произведение, на снабжение его при
использовании иллюстрациями и пояснениями, если
это вызвано необходимостью (исправление ошибок,
уточнение или дополнение фактических сведений и
т.п.), при условии, что этим не искажается замысел
автора и не нарушается целостность восприятия
произведения». Это важное дополнение именно для
произведений, используемых в учебных целях, т.к. в
Технологии информационного общества в науке,
образовании и культуре: сборник научных статей.
Материалы XVII Всероссийской объединенной
конференции «Интернет и современное общество»
школьных учебниках, антологиях, сборниках
зачастую используются адаптированные отрывки из
авторских текстов, снабженные иллюстрациями,
вопросами и заданиями.
В пп. 1 п. 2 ст.1270 ГК РФ «Исключительное
право на произведение» внесено существенное
добавление. Правовые нормы данной статьи
являются основополагающими в авторском праве,
тем более важно отметить такое дополнение как:
«Не считается воспроизведением краткосрочная
запись произведения, которая носит временный или
случайный характер и составляет неотъемлемую и
существенную часть технологического процесса,
имеющего единственной целью правомерное
использование произведения либо осуществляемую
информационным посредником между третьими
лицами передачу произведения в информационнотелекоммуникационной сети, при условии, что
такая запись не имеет самостоятельного
экономического значения». В данном контексте
выражение «запись произведения, которая носит
временный или случайный характер» может
означать и кратковременную запись в учебных
целях, например, на доске для ученической
аудитории во время урока.
Очень важны изменения, вносимые в правовые
нормы ст.1273 ГК РФ «Свободное воспроизведение
произведения в личных целях», согласно пп.4 п.1
которой допускается без согласия автора или иного
правообладателя и без выплаты вознаграждения
воспроизведение гражданином при необходимости
и исключительно в личных целях правомерно
обнародованного произведения, за исключением
репродуцирования книг (полностью) и нотных
текстов. Закон позволяет факсимильное
воспроизведение с помощью любых технических
средств, осуществляемое не в целях переиздания.
Данная правовая норма запрещает репродуцировать
книги и нотные тексты полностью, что достаточно
редко встречается в учебной работе. Однако
частичное репродуцирование возможно для личных
целей. Важно, что в данной правовой норме
раскрыто понятие репродуцирования, чего не было
в предыдущей редакции Кодекса.
3. Правовые аспекты свободного
воспроизведения произведения в
учебных целях
Правовые положения ст.1274 ГК РФ
«Свободное использование произведения в
информационных, научных, учебных или
культурных целях» существенно исправлены,
дополнены и логически опосредовано изменены.
Для целей образования важны изменения пп.6 п.1
ст.1274, согласно которому допускается без
согласия автора или иного правообладателя и без
выплаты вознаграждения, но с обязательным
указанием имени автора и источника заимствования
публичное исполнение правомерно обнародованных
произведений путем их представления в живом
исполнении, осуществляемое без цели извлечения
прибыли в образовательных организациях,
медицинских организациях, учреждениях
социального обслуживания и учреждениях
уголовно-исполнительной системы работниками
(сотрудниками) данных организаций и учреждений
и лицами, соответственно обслуживаемыми
данными организациями и учреждениями или
содержащимися в данных учреждениях. Данное
правовое положение вступает в силу с 1 января 2015
года, после чего будет узаконено, например, чтение
вслух ученикам или детсадовцам, возможность
которого до сих пор вызывала вопросы и дискуссии.
В связи с данной нормой полезно обратиться к
статье А.М. Цапенко «Чтение вслух детям:
правовые аспекты» [5], в который автор выразил
следующее мнение: «учитывая отсутствие
корыстных целей чтеца произведения (он не ставит
цель приобретения коммерческой выгоды),
отсутствие признаков присвоения авторства,
определенный круг лиц, которым произведение
читается, а также многовековую культурную
практику такого детского чтения, можно сделать
однозначный вывод о допустимости такого
безвозмездного использования произведения». В
данном случае правовая норма была дополнена
вполне в соответствии с правоприменительной
практикой.
Следует упомянуть, что для образовательных
целей важно вступающее в силу с 1 января 2015
года дополнение п.6 в ст.1275 ГК РФ «Свободное
использование произведения библиотеками,
архивами и образовательными организациями».
Согласно вводимому Законом N 35-ФЗ п.6 ст.1275,
образовательные организации при условии
отсутствия цели извлечения прибыли вправе без
согласия автора и без выплаты вознаграждения, но с
обязательным указанием имени автора,
произведение которого используется, и источника
заимствования создавать копии, в том числе в
электронной форме, отдельных статей и
малообъемных произведений, правомерно
опубликованных в сборниках, газетах и других
периодических печатных изданиях, коротких
отрывков из иных правомерно опубликованных
письменных произведений (с иллюстрациями или
без иллюстраций) и предоставлять эти копии
обучающимся и педагогическим работникам для
проведения экзаменов, аудиторных занятий и
самостоятельной подготовки в необходимых для
этого количествах. Положения п.6 ст.1275
коррелируют с нормой пп.4 п.1 ст.1273 ГК РФ,
разрешая воспроизведение отдельных статей и
малообъемных произведений. Данное изменение
правовой нормы ст.1275 стало ответом на
выступления специалистов. Так, А.М. Цапенко в
своем докладе «Нормы об авторском праве и
школьный учебник» [3] ставил вопрос о
возможности воспроизведения в букварях и книгах
для чтения учеников младшего школьного возраста
отдельных отрывков из произведений современных
авторов. Докладчиком была отмечена тенденция,
заключавшаяся в то время в отсутствии прямого
законодательного разрешения такого
воспроизведения, к применению устаревших
текстов, хотя и великих русских писателей, но
которые необходимо дополнить современной
тематикой, которая на данный момент нередко
отсутствует в учебниках. В настоящее время, с
внесением изменений в текст ГК РФ,
образовательные организации при условии
отсутствия цели извлечения прибыли вправе без
согласия автора и без выплаты вознаграждения, и с
обязательным указанием имени автора могут
создавать копии, в том числе в электронной форме.
Следовательно, после вступления в силу всех
нововведений, заложенных Федеральным законом
от 12.03.2014 N 35-ФЗ, авторские тексты в
цифровой форме вполне легитимно будут
использоваться в учебной литературе. Поэтому
происходящие в настоящее время изменения
системы авторского права в России можно считать
полезными и своевременными, т.к. они ведут к
существенному расширению возможности
использования в образовательных целях фрагментов
авторских произведений выраженных, в том числе,
в цифровой форме.","Рассмотрены юридические аспекты
возможности воспроизведения авторских
текстов в учебной литературе, а также
вопросы свободного использования
объектов авторского права в учебных
целях.
Особое внимание уделено вопросам
правового функционирования оцифрованных учебников и применения сети
Интернет в учебных целях","The Author's Texts in Digital Form for Use
in Educational Literature
E.A. Danilina, A.M. Tsapenko
The article analyzes changes in the Russian Civil
Code regarding a possibility of free reproduction of the
digital authors' texts in the field of educational
literature.
A comparison of the domestic legislation was made.
In particular the Civil Codes novels that allow
contemporary authors' works to be read aloud within
different educational organizations were analyzed"
2,2014,Belinskaya,электронный каталог; оцифровка; фактографические базы данных; ИРБИС64; консервация документов; сохранность документов; мониторинг; биомониторинг; анализ данных,,"Автоматизация библиотечно-библиографических
процессов БАН: история и современность
М.А. Белинская, И.И. Новицкая, Е.А. Тилева
Библиотека Российской академии наук

1. Введение
История Библиотеки Российской академии наук
насчитывает уже три столетия. БАН была основана
в 1714 г. по указу Петра I.
Первая академическая библиотека страны имеет
в своем составе уникальные фонды: Рукописный
фонд БАН, содержащий: древние летописи и
личную библиотеку Петра Великого, составляющую
историческое ядро фондов БАН, а также
библиотеки многих видных деятелей науки и
культуры; Бронированный фонд Президиума
Академии наук, планомерно комплектующийся
академическими изданиями, начиная с 1746 г. по
настоящее время; Славянский фонд и другие.
Сегодня совокупный фонд БАН составляет
около 20 млн. документов. Располагая фондами
практически по всем отраслям знаний, перед
сотрудниками Библиотеки изначально стояла задача
отразить все это богатство в каталогах максимально
полно и обеспечить к ним доступ читателей.
Работа по автоматизации библиотечнобиблиографических процессов началась в 1970 г. с
момента образования отдела пишущих автоматов.
Основная задача отдела состояла в создании
автоматизированной системы БАН (АС-БАН) для
усовершенствования справочнобиблиографического аппарата и форм
информационного обслуживания сотрудников
ленинградских учреждений Академии наук СССР.
На протяжении 44 лет существования отдела
менялось его наименование, структура,
расширялись его функции, но основная задача –
автоматизация библиотечно-библиографических
процессов оставалась неизменной.
2. Основные этапы автоматизации
Автоматизацию в БАН можно условно разделить
на несколько этапов.
На начальном этапе в автоматизированном
режиме был подготовлен сводной каталог
зарубежных книг и периодических изданий, а также
в рамках создания автоматизированной системы
БАН были введены в эксплуатацию две задачи:
анализ спроса на периодические издания и подписка
на периодические издания через агентство
«Союзпечать» [1].
Следующий этап начался в 1989 г., когда
компания GEAC COMPUTER CORPORATION
предоставила БАН автоматизированную
библиотечную систему, и началась работа по
ретроспективному вводу иностранных
периодических изданий и авторефератов. В общей
сложности тогда было введено около 8000
периодических изданий и 12000 авторефератов. Но,
к сожалению, блоки памяти системы GEAC,
рассчитанные на 20000 записей, переполнились, а
купить новые блоки не представлялось тогда
возможным. Кроме этого в 90-х гг. БАН остро
ощутила кадровые проблемы: сокращение кадров,
массовый отток квалифицированных специалистов.
Таким образом, из-за финансовых трудностей в
Библиотеке и в стране в целом в 1992 г. эта работа
была приостановлена.
В 1995 г. начался новый этап автоматизации.
БАН вступает в Международную
неправительственную Ассоциацию пользователей
CDS/ISIS. Создается программное обеспечение на
основе CDS/ISIS, которое используется для
создания электронного каталога. И тогда же был
запущен полный цикл обработки иностранной
литературы: обработка начиналась в отделе
комплектования библиотечных фондов, после чего
данные передавались в отдел научной обработки
литературы, а затем в отдел научной
систематизации литературы. Особое внимание
уделялось лингвистической составляющей
информационно-поисковых систем [2].
Сотрудниками отдела был создан
специализированный англо-русский тезаурус по
сохранности документов [3], что во многом
облегчало работу специалистов по поиску и отбору
литературы.
БАН – это централизованная библиотечная
система, включающая центральную библиотеку и 30
подразделений при научно-исследовательских
учреждениях (НИУ) Санкт-Петербурга, которые также
ведут электронные каталоги. В 1999 г. был создан
поисковый автоматизированный комплекс «СПРУТ»
для поиска в объединенном каталоге БАН.
В то время в библиотеке отсутствовала
компьютерная сеть, и данные передавались из
отдела в отдел на дискетах, что сопровождалось
потерей информации, кроме того происходили
частые сбои из-за ограничений самого
программного обеспечения CDS/ISIS, в частности,
по размеру файла базы данных MST в 512 Мб.
В связи с отсутствием единой концепции
создания электронного каталога на тот момент
некоторые отделы БАН отказались от работы в
CDS/ISIS, и для них было разработано программное
обеспечение c применением других СУБД,
например, MS ACCESS, FOXPRO.
К началу 2000 гг. в Библиотеке использовали
большое количество форматов хранения данных, и
встал вопрос о совмещении этих форматов в
единую систему.
В 2005 г. в БАН была закончена прокладка
компьютерной сети, и появилась версия программного
обеспечения (ПО) ИРБИС 64. В ходе работы по
адаптации ПО ИРБИС 64 к работе БАН, были созданы
программные средства, позволившие конвертировать
уже имеющиеся БД, созданные в разное время с
использованием разных АБИС в Российский
коммуникативный формат представления
библиографических записей UNIMARC.
С 2007 г. в центральной библиотеке и
подразделениях БАН при НИУ перешли на работу в
системе ИРБИС 64, что позволило вести каталог
новых поступлений в едином формате.
С помощью Web-ИРБИС 64 каталог доступен на
сайте БАН. Интерфейс Web-ИРБИС изменен под
стилистику сайта. В данный момент в каталоге
представлена центральная библиотека, отдельно для
удобства пользователей выделен каталог отдела
литературы стран Азии и Африки на восточных
языках и 23 подразделения БАН при НИУ. Общий
массив данных, по которому осуществляется поиск,
содержит около 1200000 записей. Ежемесячное
пополнение составляет 6000 записей.
3. Оцифровка фондов
Параллельно, в июле 2006 г., Библиотека
Российской академии наук получила грант
Правительства Российской Федерации и
Международного Банка Реконструкции и Развития
на «Внедрение современных телекоммуникационных технологий в информационную инфраструктуру Библиотеки Российской академии наук».
Цель проекта – обеспечение эффективного доступа
к документальным и электронным информационным ресурсам БАН.
Для читателей был открыт новый
информационный интернет-центр. Центр
обеспечивает доступ читателей к мировым
информационным ресурсам в том числе и к
полнотекстовым статьям журналов, доступным по
электронной подписке. В центре имеется мини
конференц-зал. Здесь проводятся занятия
сотрудников БАН по повышению квалификации –
от обучения компьютерной грамотности до
применения в работе современных библиотечных
технологий.
В рамках гранта также создана справочнопоисковая система (СПС) на базе свободного
программного обеспечения НауЛинукс
(локализованная русифицированная версия
SCIENTIFIC LINUX). СПС использует современные
портальные технологии, она построена на
свободном программном обеспечении PLONE и
включает в себя специализированный механизм
поиска в каталогах сканированных библиографиических карточек и библиографических базах
данных. Для организации работы читателей со СПС
в Библиотеке развернута сеть сенсорных информационных киосков.
На базе редакционно-издательского отдела по
гранту Правительства РФ был организован новый
центр сканирования, оснащенный книжными
сканерами высокого класса Минолта, что позволило
начать новый проект в рамках программы
Президиума Российской академии наук «Научное
наследие России» по созданию фонда электронных
документов.
Основная задача данного проекта – создание
полнотекстовой электронной научной библиотеки,
отражающей историю РАН, достижения российской
мысли в области науки и культуры, участие
российских ученых в важнейших событиях жизни
страны и мира, персоналии.
Координатором программы во главе с
руководителем проекта академиком Г.И. Савиным
выступает Межведомственный суперкомпьютерный
центр РАН. Научное руководство проектом в БАН
осуществляет директор В.П. Леонов. Этот проект
технически разрабатывался и внедрялся в СанктПетербурге филиалом Межведомственного суперкомпьютерного центра, специалистами ФТИ и БАН.
Концепция электронной библиотеки БАН
предусматривает организацию работы по оцифровке
по коллекционному принципу, что позволяет
работать с ограниченными по объему и
завершенными по характеру подбора массивами
документов.
В проекте участвуют центральная библиотека и
три подразделения БАН при НИУ: библиотеки при
Физико-техническом институте (ФТИ), Институте
цитологии (ИНЦ) и Санкт-Петербургском филиале
Архива РАН (СПбФА РАН).
На данный момент центральной библиотекой
оцифрованы следующие коллекции:
1. Издания классиков российской науки в области
филологии, богословия: митрополита Евгения
[Болховитинов, Евфимий Алексеевич],1767-
1837; философа, писателя, публициста Алексея
Степановича Хомякова, (1804-1860);
митрополита Филарета [Дроздов, Василий
Михайлович], 1783-1885 и др.;
2. Редкие книги – издания типографии СвятоУспенской Почаевской лавры, XVII–XVIII вв.;
3. Академические издания: труды Леонарда Эйлера;
4. Книжные издания Академии наук СССР периода
Великой Отечественной войны 1941–1945 гг.
Издания для оцифровки последней коллекции
отбирались на основе библиографического
указателя, созданного непосредственно в годы
войны. Первая его часть (1941 г.) готовилась
сотрудниками Библиотеки РАН в блокадном
Ленинграде и именно эта часть положила начало
реализации в БАН проекта «Научное наследие
России», вторая (1942 г.) и третья (1943 г.) – в
эвакуации в Москве, значительные дополнения
коллекции и оригинальные разыскания были
сделаны в 2005-2006 гг. Они содержат книги и
журналы, изданные в этот период и отражающие
работу более 70 академических учреждений СССР.
Отделом БАН при ФТИ оцифрованы издания
классиков российской науки в области физикоматематических и химических наук в русских и
зарубежных изданиях:
Труды академиков и член-корреспондентов АН:
Л.С. Берга, С.И. Вавилова, П.И. Вальдена,
Н.Е. Жуковского, А.Ф. Иоффе, А.Н. Крылова,
Н.С. Курнакова, П.П. Лазарева, Д.И. Менделеева,
В.А. Стеклова, А.Е. Фаворского, Я.И. Френкеля,
О.Д. Хвольсона, Н.Г. Хлопина, С.А. Чаплыгина,
П.Л. Чебышева. Хронологические рамки: 1879–
1949.
Сектором БАН при ИНЦ оцифрованы издания
классиков российской науки в области
естественных и медико-биологических наук:
Труды академиков и член-корреспондентов АН:
В.А. Догеля, Д.Н. Насонова, К.А. Тимирязева,
Н.А. Холодковского; Биологический журнал 1932–
1938 гг. (под ред. Н.К. Кольцова); Авторефераты
диссертаций сотрудников ИНЦ. Хронологические
рамки: конец XIX–первая половина XX вв.
Сектор БАН при СПбФА РАН сканирует
издания по истории Академии наук. Среди них
сочинения П.П. Пекарского, М.И. Сухомлинова,
труды по истории экспедиций XVIII-XIX вв. и
другие материалы, раскрывающие фонды
академического архива в Санкт-Петербурге.
На сегодняшний день библиотекой сканировано
более 7000 документов – книг, журналов, статей,
оттисков на 40 языках. Этот информационный
ресурс содержит два вида информации:
полнотекстовую и библиографическую.
Весь массив информации поступает в
Межведомственный суперкомпьютерный центр
Российской академии наук в Москве, а часть
коллекции Научного наследия России –
электронный каталог славянского фонда и
коллекция изданий Академии наук,
опубликованных в 1941-1945 гг. – представлена на
сайте БАН.
Для представления документов на сайте создан
специальный шлюз, воспринимающий электронные
записи в формате XML.
Создание библиографических описаний
осуществляется на основе программного
обеспечения CDS/ISIS для операционной системы
MS Windows. Затем библиографические записи
выгружаются в транспортный текстовый файл DAT.
После дополнительной технологической коррекции
с помощью специальных сервисных программ:
контроля полноты и качества ввода информации,
автоматического ввода учетных реквизитов и др.
записи из файла DAT загружаются в XMLконвертер. Количество воспринимаемых
конвертером и выгружаемых записей не
ограничено. XML-конвертер обрабатывает
электронные записи как в кодировке WINDOWS-
1251, так и в кодировке UTF-8.
При отборе документов для оцифровки
учитывается физическое состояние издания:
выцветший текст, пожелтевшая бумага, глубоко
прошитый корешок и т.п. и, как правило, требуется
консультация и разрешение специалистов Научноисследовательского отдела консервации и
реставрации библиотечных фондов (НИОКиРФ),
когда речь идет о книгах XVIII–XIX вв.
4. Фактографические БД по сохранности
БАН всегда уделяла много внимания вопросам
сохранения памятников науки, истории и культуры,
и в настоящее время обеспечение сохранности
фондов является одним из основных направлений
исследований и практической деятельности
специалистов БАН.
Работа по созданию фактографических баз
данных по сохранности была начата в 2008 г. В этой
работе принимали участие три отдела БАН –
Научно-исследовательский отдел консервации и
реставрации библиотечных фондов, Отдел фондов и
обслуживания (ОФО) и Научно-исследовательский
отдел информатики и автоматизации (НИОИА).
Была разработана технология создания
фактографического описания библиотечных
фондов, индивидуальные информационные картыописания для документов коллекций и программное
обеспечение на основе СУБД MS ACCESS [4,5].
В течение пяти лет, начиная с 2008 г., издания,
подлежащие консервации и реставрации,
выявлялись в фондах БАН, описывались по
информационным картам с занесением данных в
соответствующую фактографическую БД и
переводились в форму фазового хранения.
Следующий этап, осуществленный в 2013 г.,
позволил конвертировать уже имеющиеся
фактографические БД по сохранности в формат
UNIMARC для дальнейшего использования в ПО
ИРБИС-64.
Пользователи ПО ИРБИС-64 делятся на два
типа: непосредственные хранители фондов и
специалисты, занимающиеся прикладными
вопросами сохранности: консерваторы и
реставраторы. Для пользователей-хранителей
открываются обычные рабочие листы для ввода и
поиска библиографической информации.
Пользователи-консерваторы вносят свои данные
в особую вкладку рабочего листа ввода –
Консервация и сохранность. Для этой категории
пользователей в формате просмотра при вводе
информации отображается информационная картаописание документа. Информационные карты
содержат от 30 до 150 параметров, большая часть
которых непосредственно связана с сохранностью
документа, и отражают состояние его материальной
основы: описание материалов и повреждений,
результаты тестов и проб.
Средства поиска позволяют создавать и
сохранять на постоянной основе всевозможные
запросы, необходимые для статистического анализа
данных по консервации и сохранности. На основе
этого анализа проводится консервационный
мониторинг, который позволяет не только оценить
состояние отдельного документа и коллекции в
целом, но и запланировать необходимые работы по
консервации и реставрации, оценить их объем,
сложность и возможные сроки выполнения, а также
подготовить книжный памятник к оцифровке,
которая включает комплекс консервационных и
реставрационных мероприятий, снижающих риск
негативных воздействий при сканировании.
После оцифровки ссылка на электронную копию
заносится в описание документа – 951 поле.
Таким образом, мы объединили в одной записи
библиографическое описание, данные о
консервации и сохранности документа и,
непосредственно, сами сканы.
Введение в оборот электронных копий
оригинала документа позволит существенно
снизить эксплуатационную нагрузку оригинала.
В дополнение к имеющейся в библиотеке
системе по обеспечению сохранности документов в
БАН создан еще один информационный продукт –
путеводитель по вопросам сохранности документов
на бумажной основе [6]. Целью создания такого
путеводителя является обеспечение пользователей:
специалистов по обеспечению сохранности
документов, библиотекарей, хранителей,
музееведов, биологов, химиков, технологов
бумажного производства, реставраторов и др.
гипертекстовыми ссылками на сетевые, в том числе
и полнотекстовые документы по названной теме.
Путеводитель включает три части: зарубежную
(англоязычную) информацию, отечественную
информацию и описание библиографических баз
данных по вопросам сохранности документов.
Путеводитель доступен на сайте БАН.
5. Подготовка библиографических
списков в автоматизированном режиме
Подготовка сводных каталогов книг и
периодических изданий в автоматизированном
режиме была основной задачей отдела еще на
начальном этапе автоматизации. Эта работа
актуальна и сейчас. ""Библиография изданий
Академии наук"" - ежегодный библиографический
указатель, отражающий документальный
издательский поток Российской академии наук и ее
отделений. С 1994 года начата подготовка
ежегодника РАН в автоматизированном режиме с
использованием ПО на основе CDS/ISIS.
В 1999 г. в качестве пилотного проекта
подготовлен CD-ROM ""Библиография изданий
Российской академии наук. Том. 41"". После
перехода на ПО ИРБИС 64 в 2010 г. совместно с
отделом изданий Академии наук (ОИАН) была
начата работа по формированию ежегодника РАН с
использованием этого ПО. В ходе работы был
создан авторитетный файл учреждений РАН [7],
содержащий сведения об организациях РАН и
учитывающий иерархическую структуру РАН,
созданы выходные формы, включающие файлы
сортировки и выходных форматов. Каталогизаторам
кроме ввода библиографической информации
достаточно заполнить поле 966 Учреждения РАН,
выбрав из предлагаемого списка нужное
учреждение.
После отбора изданий по конкретному году
нужно выбрать табличную выходную форму
ежегодника и получить библиографический
указатель в формате rtf.
6. Заключение
На сегодняшний день помимо совершенствования и развития автоматизированной информационно-библиотечной системы БАН одним их важнейших направлений деятельности НИОИА является работа с сайтом. В настоящее время сайт БАН
устарел и уже не вполне соответствует
современным требованиям представления данных.
Перед сотрудниками отдела стоит задача до 2016 г.
- превращение сайта БАН в многофункциональный
информационный портал. Данная работа позволит
вывести обслуживание читателей на новый уровень,
а именно осуществлять заказ изданий в режиме онлайн, предоставлять зарегистрированным
пользователям доступ к полнотекстовым статьям по
электронной подписке БАН и другие услуги.
Авторы данной статьи попытались отразить
основные вехи развития автоматизации БАН и
вклад разных поколений сотрудников в этот
процесс.","В докладе представлен опыт автоматизации
библиотечно-библиографических процессов
БАН. Рассмотрены важнейшие направления
работы научно-исследовательского отдела
информатики и автоматизации такие как:
работа по созданию электронного каталога,
оцифровка фондов БАН по программе
«Научное наследие России», разработка и
внедрение
фактографических
БД по
консервации и сохранности библиотечных
фондов БАН.","Automation of Bibliographic Processes
M.A. Belinskaya, I.I. Novitskaya, E.A. Tileva
The report presents the experience of automation of
bibliographic library processes. Considered the most
important directions of the Scientific department of
informatics and automation, such as creation of
electronic catalog, digitization, work on the program
“The scientific heritage of Russian Academy of
Sciences”, development and maintenance of factual
databases on conservation and preservation library
collections."
