trigram;freq
('подходов', 'корпусной', 'лингвистики');6
('области', 'корпусной', 'лингвистики');4
('лингвистики', 'обучении', 'ия');3
('использования', 'подходов', 'корпусной');3
('корпусной', 'лингвистики', 'обучении');3
('открытых', 'образовательных', 'ресурсов');3
('средней', 'школы', 'й');2
('национального', 'корпуса', 'русского');2
('вебинаров', 'доступны', 'канале');2
('записи', 'вебинаров', 'доступны');2
('является', 'расширение', 'словарного');2
('лингводидактики', 'обучении', 'ия');2
('корпусной', 'лингводидактики', 'обучении');2
('привязки', 'планов', 'уроков');2
('корпуса', 'русского', 'языка');2
('открытыми', 'образовательными', 'ресурсами');2
('находящиеся', 'открытом', 'доступе');2
('апробация', 'курса', 'описана');2
('требует', 'дальнейшего', 'исследования');2
('недостаточная', 'подготовка', 'преподавателей');2
('подготовка', 'преподавателей', 'ия');2
('доступные', 'онлайн', 'корпуса');2
('расширение', 'словарного', 'запаса');2
('преподавателей', 'ия', 'желающих');2
('открытое', 'образование', 'науку');2
('английский', 'язык', 'иностранный');2
('изучающих', 'английский', 'язык');2
('использованием', 'подходов', 'корпусной');2
('созданию', 'собственного', 'специального');2
('обучения', 'ия', 'использованием');2
('русскоязычном', 'сегменте', 'интернета');2
('собственного', 'специального', 'корпуса');2
('образование', 'науку', 'информацию');2
('диктора', 'оценивая', 'близость');1
('близость', 'попытки', 'процентах');1
('подбираются', 'системой', 'автоматически');1
('которые', 'подбираются', 'системой');1
('системой', 'автоматически', 'систему');1
('попытки', 'процентах', 'учащийся');1
('сложности', 'которые', 'подбираются');1
('оценивая', 'близость', 'попытки');1
('речи', 'которая', 'автоматически');1
('речи', 'диктора', 'оценивая');1
('спектрограммой', 'речи', 'диктора');1
('записи', 'речи', 'которая');1
('произнесенный', 'фрагмент', 'спектрограммой');1
('автоматически', 'систему', 'интегрирована');1
('систему', 'интегрирована', 'передовая');1
('сравнивает', 'произнесенный', 'фрагмент');1
('автоматически', 'сравнивает', 'произнесенный');1
('которая', 'автоматически', 'сравнивает');1
('интегрирована', 'передовая', 'технология');1
('передовая', 'технология', 'записи');1
('технология', 'записи', 'речи');1
('фрагмент', 'спектрограммой', 'речи');1
('корпусная', 'лингводидактика', 'контексте');1
('процентах', 'учащийся', 'неоднократно');1
('статьи', 'важно', 'отметить');1
('версии', 'касается', 'тестирования');1
('касается', 'тестирования', 'незнакомой');1
('тестирования', 'незнакомой', 'лексики');1
('незнакомой', 'лексики', 'контексте');1
('лексики', 'контексте', 'статьи');1
('контексте', 'статьи', 'важно');1
('важно', 'отметить', 'каждого');1
('возможность', 'платной', 'версии');1
('отметить', 'каждого', 'видео');1
('каждого', 'видео', 'урока');1
('видео', 'урока', 'имеется');1
('урока', 'имеется', 'интерактивный');1
('имеется', 'интерактивный', 'план');1
('интерактивный', 'план', 'урока');1
('платной', 'версии', 'касается');1
