Words;Frequencies;Ranks;Logarithm of Frequencies;Logarithm of ranks
сущ;84;1;1.9242792860618814;0.0
прил;59;2;1.7708520116421442;0.30102999566398114
предлог;47;3;1.6720978579357173;0.47712125471966244
пад;43;4;1.6334684555795864;0.6020599913279623
этим;33;5;1.5185139398778873;0.6989700043360187
словосочетанием;32;6;1.5051499783199058;0.7781512503836435
стоит;32;7;1.5051499783199058;0.8450980400142567
род;31;8;1.4913616938342726;0.9030899869919434
следует;31;9;1.4913616938342726;0.9542425094393249
оборот;31;10;1.4913616938342726;1.0
словосочетания;27;11;1.4313637641589871;1.041392685158225
этого;17;12;1.2304489213782739;1.0791812460476247
слов;15;13;1.1760912590556811;1.1139433523068367
предложный;15;14;1.1760912590556811;1.1461280356782377
словосочетаний;10;15;1.0;1.1760912590556811
слова;10;16;1.0;1.2041199826559246
глагол;10;17;1.0;1.2304489213782739
является;9;18;0.9542425094393249;1.2552725051033058
словосочетание;9;19;0.9542425094393249;1.2787536009528289
ними;9;20;0.9542425094393249;1.301029995663981
таким;9;21;0.9542425094393249;1.322219294733919
местоим;9;22;0.9542425094393249;1.3424226808222062
рост;9;23;0.9542425094393249;1.3617278360175928
союз;9;24;0.9542425094393249;1.380211241711606
деле;8;25;0.9030899869919434;1.3979400086720375
оборотов;8;26;0.9030899869919434;1.414973347970818
рода;8;27;0.9030899869919434;1.4313637641589871
был;8;28;0.9030899869919434;1.447158031342219
ним;8;29;0.9030899869919434;1.462397997898956
правее;8;30;0.9030899869919434;1.4771212547196624
счет;8;31;0.9030899869919434;1.4913616938342726
нкря;7;32;0.8450980400142567;1.5051499783199058
связи;7;33;0.8450980400142567;1.5185139398778873
согласованное;7;34;0.8450980400142567;1.5314789170422551
концов;6;35;0.7781512503836435;1.5440680443502754
время;6;36;0.7781512503836435;1.556302500767287
того;6;37;0.7781512503836435;1.5682017240669948
оборотом;6;38;0.7781512503836435;1.57978359661681
качестве;6;39;0.7781512503836435;1.591064607026499
которые;6;40;0.7781512503836435;1.6020599913279623
смерти;6;41;0.7781512503836435;1.6127838567197355
рубеж;6;42;0.7781512503836435;1.6232492903979003
классов;6;43;0.7781512503836435;1.6334684555795864
класса;6;44;0.7781512503836435;1.6434526764861872
имени;6;45;0.7781512503836435;1.6532125137753435
всех;6;46;0.7781512503836435;1.6627578316815739
точки;6;47;0.7781512503836435;1.6720978579357173
лице;6;48;0.7781512503836435;1.6812412373755872
свете;6;49;0.7781512503836435;1.6901960800285134
предложений;5;50;0.6989700043360187;1.6989700043360185
группы;5;51;0.6989700043360187;1.7075701760979363
оборотами;5;52;0.6989700043360187;1.716003343634799
сказать;5;53;0.6989700043360187;1.724275869600789
обороты;5;54;0.6989700043360187;1.7323937598229684
начала;5;55;0.6989700043360187;1.7403626894942439
среднем;5;56;0.6989700043360187;1.7481880270062005
свою;5;57;0.6989700043360187;1.7558748556724912
справа;5;58;0.6989700043360187;1.7634279935629371
поселения;5;59;0.6989700043360187;1.7708520116421442
страны;5;60;0.6989700043360187;1.7781512503836434
космос;5;61;0.6989700043360187;1.785329835010767
число;5;62;0.6989700043360187;1.7923916894982537
области;5;63;0.6989700043360187;1.7993405494535815
собака;5;64;0.6989700043360187;1.8061799739838869
мне;5;65;0.6989700043360187;1.8129133566428552
манере;5;66;0.6989700043360187;1.8195439355418683
зрения;5;67;0.6989700043360187;1.8260748027008262
можно;4;68;0.6020599913279623;1.8325089127062362
роли;4;69;0.6020599913279623;1.8388490907372552
наречий;4;70;0.6020599913279623;1.845098040014257
зависимости;4;71;0.6020599913279623;1.851258348719075
другими;4;72;0.6020599913279623;1.8573324964312683
том;4;73;0.6020599913279623;1.8633228601204557
числе;4;74;0.6020599913279623;1.8692317197309762
разбора;4;75;0.6020599913279623;1.8750612633916997
