Слово	Лемма	Часть речи	Синтаксис	Признаки
Minun	minä	PRON	nmod:poss	Case=Gen|Number=Sing|Person=1|PronType=Prs
paras	hyvä	ADJ	amod	Case=Nom|Degree=Sup|Number=Sing
ystäväni	ystävä	NOUN	nsubj:cop	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=1

	
	SPACE	dep	
Hei	hei	INTJ	discourse	
,	,	PUNCT	punct	
olen	olla	AUX	cop	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act
Mikko	Mikko	PROPN	ROOT	Case=Nom|Number=Sing
.	.	PUNCT	punct	
Olen	olla	AUX	cop	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act
kuusitoista	kuusitoki	NOUN	obl	Case=Ela|Number=Sing
vuotias	vuotias	ADJ	compound:nn	Case=Nom|Degree=Pos|Number=Sing
ja	ja	CCONJ	cc	
asun	asu	NOUN	conj	Case=Gen|Derivation=U|Number=Sing
Joensuussa	Joensuku	PROPN	ROOT	Case=Ine|Number=Sing
Suomessa	Suomi	PROPN	nmod	Case=Ine|Number=Sing
.	.	PUNCT	punct	
Haluan	haluta	VERB	ROOT	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act
kertoa	kertoa	VERB	xcomp	InfForm=1|Number=Sing|VerbForm=Inf|Voice=Act
parhaasta	hyvä	ADJ	amod	Case=Ela|Degree=Sup|Number=Sing
ystävästäni	ystävästä	NOUN	obj	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=1
Villestä	Villestä	PROPN	obl	Case=Ela|Number=Sing
.	.	PUNCT	punct	


	

	SPACE	dep	
Minä	minä	PRON	nsubj:cop	Case=Nom|Number=Sing|Person=1|PronType=Prs
ja	ja	CCONJ	cc	
Ville	Ville	PROPN	conj	Case=Nom|Number=Sing
tutustuimme	tutustuhdä	VERB	nmod:poss	Mood=Ind|Number=Plur|Person=1|Tense=Past|VerbForm=Fin|Voice=Act
lukiossa	lukio	NOUN	ROOT	Case=Ine|Number=Sing
.	.	PUNCT	punct	
Hän	hän	PRON	nsubj	Case=Nom|Number=Sing|Person=3|PronType=Prs
muutti	muuttaa	VERB	ROOT	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act
Joensuuhun	Joensuuhun	PROPN	nmod:poss	Case=Gen|Number=Sing
vuosi	vuosi	NOUN	obl	Case=Nom|Number=Sing
sitten	sitten	ADP	case	AdpType=Post
ja	ja	CCONJ	cc	
olemme	olla	AUX	aux	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act
olleet	olla	AUX	cop	Case=Nom|Degree=Pos|Number=Plur|PartForm=Past|VerbForm=Part|Voice=Act
parhaita	hyvä	ADJ	amod	Case=Par|Degree=Sup|Number=Plur
ystäviä	ystävä	NOUN	conj	Case=Par|Number=Plur
siitä	se	PRON	obl	Case=Ela|Number=Sing|PronType=Dem
asti	asti	ADP	case	AdpType=Post
.	.	PUNCT	punct	
Ville	Ville	PROPN	nsubj	Case=Nom|Number=Sing
asui	asua	VERB	ROOT	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act
alunperin	alunperin	ADV	advmod	
Helsingissä	Helsinki	PROPN	obl	Case=Ine|Number=Sing
,	,	PUNCT	punct	
mutta	mutta	CCONJ	cc	
muutti	muuttaa	VERB	conj	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act
